Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,Unnamed: 23_level_0
Player,Nation,Pos,Age,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,Matches
David Raya,es ESP,GK,27-147,21,21,1890,21.0,28,1.33,117,91,76.9,8,9,4,8,38.1,1,1,0,0,0.0,Matches
Squad Total,,,26.8,21,21,1890,21.0,28,1.33,117,91,76.9,8,9,4,8,38.1,1,1,0,0,0.0,
Opponent Total,,,27.2,21,21,1890,21.0,35,1.67,86,52,65.1,4,9,8,5,23.8,5,5,0,0,0.0,
