Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected,Unnamed: 22_level_0
Player,Nation,Pos,Age,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
David Raya,es ESP,GK,27-147,21.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Bryan Mbeumo,cm CMR,FW,23-186,17.6,5,36,17,47.2,2.04,0.96,0.11,0.24,17.4,0,1,1,5.5,4.7,0.13,-0.5,-0.7,Matches
Mathias Jensen,dk DEN,MF,27-039,17.6,3,13,4,30.8,0.74,0.23,0.23,0.75,23.4,2,0,0,1.3,1.3,0.1,1.7,1.7,Matches
Rico Henry,eng ENG,DF,25-216,19.9,0,9,2,22.2,0.45,0.1,0.0,0.0,20.2,0,0,0,0.6,0.6,0.06,-0.6,-0.6,Matches
Ben Mee,eng ENG,DF,33-141,19.4,3,14,4,28.6,0.72,0.21,0.21,0.75,9.6,0,0,0,1.6,1.6,0.11,1.4,1.4,Matches
Ivan Toney,eng ENG,FW,26-330,18.9,13,51,18,35.3,2.7,0.95,0.18,0.5,14.5,5,4,4,11.0,7.8,0.15,2.0,1.2,Matches
Vitaly Janelt,de GER,"MF,DF",24-275,15.0,2,8,4,50.0,0.53,0.27,0.25,0.5,12.1,0,0,0,1.9,1.9,0.24,0.1,0.1,Matches
Ethan Pinnock,jm JAM,DF,29-256,13.0,0,6,3,50.0,0.46,0.23,0.0,0.0,8.0,0,0,0,1.0,1.0,0.18,-1.0,-1.0,Matches
Josh Dasilva,eng ENG,MF,24-109,10.9,3,13,5,38.5,1.2,0.46,0.23,0.6,21.3,0,0,0,0.9,0.9,0.07,2.1,2.1,Matches
Christian Nørgaard,dk DEN,MF,28-336,9.7,1,9,6,66.7,0.93,0.62,0.11,0.17,12.1,0,0,0,0.8,0.8,0.09,0.2,0.2,Matches
Yoane Wissa,cd COD,FW,26-159,10.2,4,21,8,38.1,2.06,0.79,0.19,0.5,14.5,0,0,0,3.3,3.3,0.16,0.7,0.7,Matches
Mads Roerslev,dk DEN,DF,23-230,9.4,0,3,0,0.0,0.32,0.0,0.0,,14.8,0,0,0,0.3,0.3,0.11,-0.3,-0.3,Matches
Aaron Hickey,sct SCO,DF,20-244,8.2,0,4,1,25.0,0.49,0.12,0.0,0.0,21.0,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
Mathias Jørgensen,dk DEN,DF,32-292,8.3,0,3,1,33.3,0.36,0.12,0.0,0.0,8.5,0,0,0,0.5,0.5,0.16,-0.5,-0.5,Matches
Kristoffer Ajer,no NOR,DF,24-298,7.5,0,1,0,0.0,0.13,0.0,0.0,,6.0,0,0,0,0.0,0.0,0.04,0.0,0.0,Matches
Pontus Jansson,se SWE,DF,31-361,5.7,0,1,0,0.0,0.17,0.0,0.0,,15.4,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
Frank Onyeka,ng NGA,MF,25-039,4.9,0,3,1,33.3,0.61,0.2,0.0,0.0,10.9,0,0,0,0.4,0.4,0.12,-0.4,-0.4,Matches
Shandon Baptiste,gd GRN,MF,24-307,4.8,0,2,1,50.0,0.42,0.21,0.0,0.0,16.9,0,0,0,0.2,0.2,0.1,-0.2,-0.2,Matches
Keane Lewis-Potter,eng ENG,"FW,MF",21-352,3.4,0,7,2,28.6,2.06,0.59,0.0,0.0,14.1,0,0,0,0.5,0.5,0.07,-0.5,-0.5,Matches
Mikkel Damsgaard,dk DEN,"MF,FW",22-221,3.2,0,4,3,75.0,1.26,0.95,0.0,0.0,17.3,0,0,0,0.5,0.5,0.12,-0.5,-0.5,Matches
Saman Ghoddos,ir IRN,"MF,FW",29-156,1.0,0,1,1,100.0,1.0,1.0,0.0,0.0,19.2,0,0,0,0.0,0.0,0.05,0.0,0.0,Matches
Sergi Canós,es ESP,"FW,DF",26-007,0.9,0,1,0,0.0,1.17,0.0,0.0,,16.1,0,0,0,0.1,0.1,0.07,-0.1,-0.1,Matches
Kevin Schade,de GER,"FW,MF",21-074,0.3,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Mads Bech Sørensen,dk DEN,"DF,MF",24-033,0.2,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Halil Dervişoğlu,tr TUR,MF,23-063,0.1,0,1,0,0.0,11.25,0.0,0.0,,31.9,0,0,0,0.0,0.0,0.03,0.0,0.0,Matches
Squad Total,,,26.8,21.0,34,211,81,38.4,10.05,3.86,0.14,0.36,15.6,7,5,5,29.5,25.7,0.13,4.5,3.3,
Opponent Total,,,27.2,21.0,26,318,116,36.5,15.14,5.52,0.08,0.22,19.2,7,1,1,26.3,25.7,0.08,-0.3,-0.7,
