Player,Nation,Pos,Age,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl.1,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
Yunis Abdelhamid,ma MAR,DF,35-172,27.0,65,39,37,27,1,32,40,80.0,8,55,20,35,49,114,98,1,Matches
Folarin Balogun,eng ENG,FW,21-259,22.5,6,3,0,4,2,1,12,8.3,11,16,1,15,2,8,11,0,Matches
Junya Ito,jp JPN,FW,30-010,21.7,30,15,10,11,9,13,43,30.2,30,23,1,22,6,36,2,0,Matches
Yehvann Diouf,fr FRA,GK,23-123,20.0,1,0,1,0,0,1,2,50.0,1,0,0,0,0,1,10,4,Matches
Marshall Munetsi,zw ZIM,MF,26-270,19.5,40,19,9,22,9,15,34,44.1,19,22,5,17,17,57,28,1,Matches
Azor Matusiwa,nl NED,MF,24-325,19.2,53,36,25,22,6,30,45,66.7,15,22,7,15,36,89,36,0,Matches
Emmanuel Agbadou,ci CIV,DF,25-275,18.8,48,30,37,10,1,29,42,69.0,13,22,9,13,23,71,78,2,Matches
Alexis Flips,fr FRA,"DF,FW",23-060,14.7,32,17,10,13,9,14,40,35.0,26,27,5,22,21,53,10,0,Matches
Thibault De Smet,be BEL,DF,24-287,12.8,22,16,8,14,0,11,27,40.7,16,21,4,17,14,36,27,0,Matches
Dion Lopy,sn SEN,MF,21-045,11.9,33,19,16,12,5,19,48,39.6,29,21,2,19,19,52,18,0,Matches
Banzouzi Locko,fr FRA,DF,20-317,11.8,32,16,22,4,6,16,27,59.3,11,17,4,13,20,52,21,0,Matches
Thomas Foket,be BEL,DF,28-175,11.9,21,14,8,8,5,11,21,52.4,10,12,5,7,20,41,13,1,Matches
Andrew Gravillon,gp GLP,DF,25-039,11.5,16,8,9,6,1,8,13,61.5,5,18,9,9,21,37,36,0,Matches
Kamory Doumbia,ml MLI,MF,20-029,10.1,22,11,6,10,6,9,26,34.6,17,12,1,11,12,34,1,0,Matches
Arber Zeneli,xk KVX,"FW,MF",28-022,10.0,9,3,3,3,3,5,12,41.7,7,5,0,5,2,11,2,0,Matches
Jens Cajuste,se SWE,MF,23-221,11.0,38,19,20,11,7,19,36,52.8,17,21,5,16,15,53,15,0,Matches
Maxime Busi,be BEL,DF,23-156,7.1,16,12,8,7,1,10,16,62.5,6,8,3,5,7,23,15,0,Matches
Patrick Pentz,at AUT,GK,26-076,7.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,Matches
Mitchell van Bergen,nl NED,"FW,DF",23-204,8.3,14,6,5,6,3,6,18,33.3,12,6,2,4,4,18,8,0,Matches
Check Keita,fr FRA,DF,19-351,5.1,5,3,3,2,0,1,5,20.0,4,3,3,0,3,8,18,1,Matches
Wout Faes,be BEL,DF,24-350,3.0,1,1,1,0,0,1,2,50.0,1,6,3,3,7,8,19,0,Matches
Noah Holm,no NOR,"FW,MF",21-300,2.2,6,4,2,2,2,2,5,40.0,3,0,0,0,0,6,5,0,Matches
Myziane Maolida,fr FRA,"FW,MF",24-033,1.7,3,1,0,2,1,3,7,42.9,4,1,0,1,2,5,0,0,Matches
Ibrahim Diakité,gn GUI,DF,19-139,1.5,3,3,3,0,0,2,3,66.7,1,0,0,0,5,8,6,0,Matches
El Bilal Touré,ml MLI,FW,21-167,1.0,0,0,0,0,0,0,0,,0,2,0,2,0,0,1,0,Matches
Martin Adeline,fr FRA,"MF,FW",19-107,1.2,3,3,2,1,0,3,4,75.0,1,3,1,2,3,6,3,0,Matches
Nathanael Mbuku,fr FRA,"FW,MF",21-003,0.7,2,1,2,0,0,2,2,100.0,0,0,0,0,0,2,0,0,Matches
Kaj Sierhuis,nl NED,"FW,MF",24-326,0.6,2,2,1,0,1,0,3,0.0,3,1,0,1,0,2,1,0,Matches
Valentin Atangana Edoa,fr FRA,MF,17-206,0.0,2,1,0,0,2,1,1,100.0,0,0,0,0,0,2,0,0,Matches
Rafik Guitane,fr FRA,FW,23-297,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,Matches
Squad Total,,,25.5,27.0,525,302,248,197,80,264,534,49.4,270,344,90,254,308,833,484,10,
Opponent Total,,,26.9,27.0,535,314,245,221,69,271,493,55.0,222,316,91,225,348,883,435,12,
