7,Nice,28,11,11.1,6,37,25,+12,44,1.57,38.9,31.4,+7.5,+0.27,D W D D D,"19,982",Gaëtan Laborde - 8,Kasper Schmeichel,Unnamed: 19
8,Lorient,28,12,8,8,41,37,4,44,1.57,34.9,43.1,-8.2,-0.29,W L D W D,14481,Terem Moffi - 12,Vito Mannone,
9,Reims,28,10,13,5,36,28,8,43,1.54,45.6,35.6,10.0,0.36,D W W W L,11577,Folarin Balogun - 17,Yehvann Diouf,
10,Lyon,28,11,8,9,43,32,11,41,1.46,43.3,36.1,7.2,0.26,L W D D D,43729,Alexandre Lacazette - 17,Anthony Lopes,
11,Montpellier,29,11,4,14,45,48,-3,37,1.28,37.3,46.4,-9.1,-0.31,D W W W D,12491,Sepe Elye Wahi - 12,Jonas Omlin,
