Player,Nation,Pos,Age,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%.1,Matches
Yehvann Diouf,fr FRA,GK,23-123,20,20,1800,20.0,12,0.6,81,69,85.2,9,10,1,12,60.0,0,0,0,0,,Matches
Patrick Pentz,at AUT,GK,26-076,7,7,630,7.0,14,2.0,29,16,58.6,1,3,3,0,0.0,2,2,0,0,0.0,Matches
Squad Total,,,25.5,27,27,2430,27.0,26,0.96,110,85,78.2,10,13,4,12,44.4,2,2,0,0,0.0,
Opponent Total,,,26.9,27,27,2430,27.0,35,1.3,127,91,76.4,4,13,10,8,29.6,6,5,1,0,16.7,
