Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,xG.1,xAG.1,xG+xAG,npxG.1,npxG+xAG.1,Matches
Noah Holm,no NOR,"FW,MF",21-318,8,2,194.0,2.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.3,0.3,0.3,0.6,1.0,2.0,8.0,0.0,0.0,0.0,0.0,0.0,0.15,0.15,0.3,0.15,0.3,Matches
Myziane Maolida,fr FRA,"FW,MF",24-051,7,2,173.0,1.9,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.2,0.2,0.1,0.3,9.0,4.0,20.0,0.52,0.0,0.52,0.52,0.52,0.11,0.07,0.18,0.11,0.18,Matches
Ibrahim Diakité,gn GUI,DF,19-157,3,1,131.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.2,0.2,0.0,0.2,0.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,0.14,0.0,0.14,0.14,0.14,Matches
El Bilal Touré,ml MLI,FW,21-185,3,1,91.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.03,0.05,0.09,0.03,0.09,Matches
Martin Adeline,fr FRA,"MF,FW",19-125,5,0,107.0,1.2,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.1,0.1,0.0,0.1,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.06,0.06,0.06,Matches
Nathanael Mbuku,fr FRA,"FW,MF",21-021,6,0,66.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,4.0,3.0,6.0,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.12,0.12,0.12,Matches
Kaj Sierhuis,nl NED,"FW,MF",24-344,7,0,50.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Valentin Atangana Edoa,fr FRA,MF,17-224,1,0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Rafik Guitane,fr FRA,FW,23-315,1,0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Samuel Koeberlé,fr FRA,MF,18-131,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Therence Koudou,fr FRA,MF,18-114,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Moustapha Mbow,sn SEN,DF,23-029,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Alexandre Olliero,fr FRA,GK,27-050,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Nicolas Penneteau,fr FRA,GK,42-037,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Squad Total,,,25.6,29,319,2610.0,29.0,39.0,28.0,67.0,34.0,5.0,6.0,57.0,8.0,47.8,43.0,33.4,76.4,532.0,1209.0,1200.0,1.34,0.97,2.31,1.17,2.14,1.65,1.15,2.8,1.48,2.63,
Opponent Total,,,27.1,29,319,2610.0,29.0,27.0,19.0,46.0,25.0,2.0,2.0,54.0,4.0,36.9,35.3,28.2,63.5,525.0,1309.0,1300.0,0.93,0.66,1.59,0.86,1.52,1.27,0.97,2.24,1.22,2.19,
