Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,Pts/MP,xG,xGA,xGD,xGD/90,MP.1,W.1,D.1,L.1,GF.1,GA.1,GD.1,Pts.1,Pts/MP.1,xG.1,xGA.1,xGD.1,xGD/90.1
4,Monaco,14,7,2,5,29,23,6,23,1.64,24.4,21.2,3.2,0.23,13,8,4,1,26,14,12,28,2.15,22.0,15.1,6.9,0.53
5,Lille,14,8,4,2,28,21,7,28,2.0,27.5,14.7,12.8,0.92,14,6,3,5,23,15,8,21,1.5,23.9,17.5,6.4,0.46
6,Rennes,14,11,0,3,30,11,19,33,2.36,21.8,13.5,8.3,0.6,13,3,5,5,15,18,-3,14,1.08,20.2,19.9,0.3,0.02
7,Nice,13,5,5,3,17,11,6,20,1.54,18.4,13.7,4.7,0.36,14,6,5,3,19,13,6,23,1.64,19.3,17.0,2.3,0.16
8,Reims,13,7,4,2,22,13,9,25,1.92,24.7,14.4,10.3,0.79,14,3,9,2,13,13,0,18,1.29,19.3,20.0,-0.7,-0.05
