Player,Nation,Pos,Age,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,Matches
Davide Frattesi,it ITA,MF,23-166,24.9,799,777,21,16,4,16,15,5,0,0,0,0,615,1,22,Matches
Andrea Consigli,it ITA,GK,36-069,26.0,1111,794,316,82,0,2,0,0,0,0,0,0,870,1,0,Matches
Rogério,br BRA,DF,25-083,24.3,1509,1208,297,37,0,16,83,260,0,0,0,0,1190,4,42,Matches
Jeremy Toljan,de GER,DF,28-241,21.7,1138,911,227,22,2,8,17,205,0,0,0,0,953,0,24,Matches
Armand Lauriente,fr FRA,FW,24-123,19.2,650,586,64,17,2,3,92,7,39,22,7,0,469,0,20,Matches
Gian Marco Ferrari,it ITA,DF,31-050,20.0,958,852,104,70,0,13,1,4,0,0,0,0,819,2,4,Matches
Andrea Pinamonti,it ITA,FW,23-322,19.0,391,350,41,0,1,3,11,0,0,0,0,0,249,0,19,Matches
Martin Erlic,hr CRO,DF,25-072,18.9,948,907,39,36,0,16,0,3,0,0,0,0,815,2,6,Matches
Maxime Lopez,fr FRA,MF,25-123,17.8,1085,1050,32,25,2,8,16,2,5,1,1,0,943,3,10,Matches
Domenico Berardi,it ITA,FW,28-248,13.9,595,549,45,10,5,22,51,3,32,19,5,0,400,1,22,Matches
Matheus Henrique,br BRA,MF,25-108,14.1,598,577,21,10,3,4,5,6,2,0,0,0,511,0,16,Matches
Ruan,br BRA,DF,23-303,11.3,532,499,32,21,0,3,0,1,0,0,0,0,473,1,4,Matches
Kristian Thorstvedt,no NOR,MF,24-024,11.1,416,405,11,6,2,1,7,5,0,0,0,0,318,0,14,Matches
Giorgos Kyriakopoulos,gr GRE,"FW,DF",27-060,8.5,391,332,56,7,0,6,39,39,10,2,5,0,300,3,9,Matches
Pedro Obiang,gq EQG,MF,31-010,7.8,345,322,21,21,0,8,1,0,0,0,0,0,282,2,6,Matches
Grégoire Defrel,mq MTQ,FW,31-293,7.8,148,131,17,0,1,1,1,0,2,1,0,0,124,0,3,Matches
Hamed Junior Traorè,ci CIV,"MF,FW",23-049,6.6,245,219,22,3,1,4,26,2,16,6,4,0,184,4,14,Matches
Kaan Ayhan,tr TUR,DF,28-147,6.1,332,311,20,15,0,7,0,2,0,0,0,0,288,1,2,Matches
Nadir Zortea,it ITA,DF,23-291,5.0,296,242,54,6,0,0,20,48,0,0,0,0,231,0,7,Matches
Luca D'Andrea,it ITA,FW,18-212,3.5,84,80,4,0,1,0,7,1,3,0,0,0,61,0,1,Matches
Emil Ceide,no NOR,FW,21-215,3.7,109,106,3,0,1,0,4,3,0,0,0,0,75,0,7,Matches
Abdou Harroui,nl NED,MF,25-083,3.9,173,169,4,0,1,1,9,2,0,0,0,0,136,0,6,Matches
Nedim Bajrami,al ALB,FW,24-037,3.7,141,131,10,2,0,0,15,1,7,1,5,0,98,0,6,Matches
Riccardo Marchizza,it ITA,DF,25-011,2.0,113,91,22,3,0,1,8,18,1,0,1,0,87,0,1,Matches
Gianluca Pegolo,it ITA,GK,42-012,2.0,77,56,21,5,0,0,0,0,0,0,0,0,64,0,0,Matches
Agustín Álvarez Martínez,uy URU,"FW,MF",21-322,3.5,72,68,4,0,0,1,2,0,1,0,1,0,58,0,1,Matches
Mert Müldür,tr TUR,DF,24-003,0.1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,Matches
Janis Antiste,fr FRA,FW,20-231,0.6,18,18,0,0,0,0,0,0,0,0,0,0,13,0,0,Matches
Giacomo Raspadori,it ITA,FW,23-047,0.5,12,9,3,0,0,0,1,0,1,1,0,0,10,0,0,Matches
Squad Total,,,26.9,28.0,13287,11751,1511,414,26,144,431,617,119,53,29,0,10637,25,266,
Opponent Total,,,27.1,28.0,14025,12645,1296,305,36,124,521,575,130,55,46,0,11299,84,227,
