Player,Nation,Pos,Age,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att.1,Thr,Launch%,AvgLen,Att.2,Launch%.1,AvgLen.1,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,Matches
Alban Lafont,fr FRA,GK,24-070,27.0,36,4,1,4,4,36.7,0.26,4.7,0.17,141,384,36.7,688,154,37.5,35.7,193,65.3,48.1,376,31,8.2,22,0.82,11.1,Matches
Rémy Descamps,fr FRA,GK,26-282,1.0,1,0,0,0,0,1.5,0.25,0.5,0.48,5,9,55.6,20,9,25.0,33.2,6,66.7,46.5,11,1,9.1,0,0.0,7.0,Matches
Squad Total,,,27.4,28.0,37,4,1,4,4,38.2,0.26,5.2,0.19,146,393,37.2,708,163,37.1,35.7,199,65.3,48.1,387,32,8.3,22,0.79,11.1,
Opponent Total,,,27.1,28.0,30,3,0,4,2,31.4,0.26,3.4,0.12,145,363,39.9,769,136,35.5,33.4,168,53.6,40.6,434,35,8.1,26,0.93,12.4,
