Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,Pts/MP,xG,xGA,xGD,xGD/90,MP.1,W.1,D.1,L.1,GF.1,GA.1,GD.1,Pts.1,Pts/MP.1,xG.1,xGA.1,xGD.1,xGD/90.1
1,Paris S-G,15,11,2,2,34,18,16,35,2.33,29.2,18.7,10.5,0.7,14,10,1,3,34,11,23,31,2.21,31.6,15.3,16.3,1.17
2,Lens,14,12,1,1,29,10,19,37,2.64,26.0,12.2,13.9,0.99,15,5,8,2,19,11,8,23,1.53,25.3,19.3,6.0,0.4
3,Marseille,15,7,4,4,26,19,7,25,1.67,27.1,17.6,9.5,0.63,14,11,2,1,28,10,18,35,2.5,21.8,18.6,3.3,0.23
4,Monaco,15,8,2,5,33,26,7,26,1.73,25.8,22.7,3.1,0.21,14,9,4,1,28,14,14,31,2.21,23.1,16.3,6.8,0.49
