Player,Nation,Pos,Age,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att.1,Thr,Launch%,AvgLen,Att.2,Launch%.1,AvgLen.1,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,Matches
Matheus,br BRA,GK,30-258,23.9,20,2,0,2,0,21.5,0.25,1.5,0.06,142,324,43.8,756,120,31.6,32.7,177,48.0,39.2,328,25,7.6,45,1.88,17.4,Matches
Tiago Sá,pt POR,GK,28-082,1.1,2,0,0,0,0,2.5,0.78,0.5,0.44,3,8,37.5,23,3,21.7,28.9,9,33.3,38.2,8,0,0.0,1,0.95,14.6,Matches
Squad Total,,,27.1,25.0,22,2,0,2,0,24.0,0.28,2.0,0.08,145,332,43.7,779,123,31.3,32.6,186,47.3,39.2,336,25,7.4,46,1.84,17.2,
Opponent Total,,,26.8,25.0,54,3,0,5,2,51.0,0.3,-1.0,-0.04,142,353,40.2,636,135,36.9,35.4,222,53.2,42.4,431,23,5.3,27,1.08,13.8,
