Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,Pts/MP,xG,xGA,xGD,xGD/90,MP.1,W.1,D.1,L.1,GF.1,GA.1,GD.1,Pts.1,Pts/MP.1,xG.1,xGA.1,xGD.1,xGD/90.1
12,Augsburg,13,5,3,5,13,17,-4,18,1.38,14.6,19.3,-4.7,-0.36,13,3,2,8,21,30,-9,11,0.85,13.9,26.1,-12.3,-0.94
13,Köln,13,5,4,4,21,14,7,19,1.46,19.0,14.3,4.7,0.36,13,1,6,6,12,30,-18,9,0.69,15.1,19.1,-4.0,-0.31
14,Bochum,12,6,1,5,18,21,-3,19,1.58,14.4,18.0,-3.7,-0.3,14,2,1,11,10,36,-26,7,0.5,13.2,32.4,-19.2,-1.37
15,Hoffenheim,13,4,2,7,18,23,-5,14,1.08,22.6,17.3,5.4,0.41,13,3,2,8,17,23,-6,11,0.85,15.0,20.5,-5.6,-0.43
16,Hertha BSC,13,4,5,4,19,20,-1,17,1.31,16.2,17.9,-1.7,-0.13,13,1,2,10,12,29,-17,5,0.38,14.0,22.9,-8.9,-0.69
