Player,Nation,Pos,Age,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%.1,Matches
Bartłomiej Drągowski,pl POL,GK,25-212,25,25,2136,23.7,38,1.6,130,91,73.1,5,7,13,4,16.0,5,3,1,1,25.0,Matches
Jeroen Zoet,nl NED,GK,32-072,3,2,154,1.7,1,0.58,6,5,83.3,0,2,0,0,0.0,0,0,0,0,,Matches
Petar Zovko,ba BIH,GK,20-359,1,0,74,0.8,2,2.43,3,1,33.3,0,0,0,0,,0,0,0,0,,Matches
Federico Marchetti,it ITA,GK,40-040,1,0,66,0.7,2,2.73,3,1,33.3,0,0,0,0,,0,0,0,0,,Matches
Squad Total,,,26.3,27,27,2430,27.0,43,1.59,142,98,71.8,5,9,13,4,14.8,5,3,1,1,25.0,
Opponent Total,,,27.7,27,27,2430,27.0,23,0.85,85,64,77.6,13,9,5,13,48.1,4,4,0,0,0.0,
