Player,Nation,Pos,Age,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,Matches
Mehdi Bourabia,ma MAR,MF,31-242,24.2,1060,994,60,28,4,4,55,5,27,21,3,0,814,6,28,Matches
Bartłomiej Drągowski,pl POL,GK,25-230,24.7,857,635,221,64,0,1,0,0,0,0,0,0,579,1,1,Matches
Dimitris Nikolaou,gr GRE,DF,24-236,24.6,1298,1200,93,35,0,22,7,41,0,0,0,0,1061,5,7,Matches
Emmanuel Gyasi,gh GHA,"FW,DF",29-085,22.4,595,531,64,3,1,1,17,36,2,0,0,0,477,0,17,Matches
M'Bala Nzola,ao ANG,FW,26-231,22.1,443,424,17,2,0,0,6,3,0,0,0,0,351,2,13,Matches
Ethan Ampadu,wls WAL,"DF,MF",22-204,21.1,1092,994,93,38,3,13,10,43,0,0,0,0,859,5,14,Matches
Kevin Agudelo,co COL,"MF,FW",24-143,20.3,609,590,14,2,4,1,26,4,5,3,2,0,445,5,31,Matches
Arkadiusz Reca,pl POL,DF,27-293,17.9,861,689,168,3,0,9,65,165,0,0,0,0,595,4,31,Matches
Kelvin Amian,fr FRA,DF,25-057,17.7,736,591,142,10,1,2,20,131,1,0,1,0,552,3,20,Matches
Jakub Kiwior,pl POL,DF,23-050,16.0,775,683,89,34,1,3,14,12,9,6,3,0,653,3,4,Matches
Emil Holm,se SWE,DF,22-328,15.5,573,463,108,1,1,3,50,107,0,0,0,0,342,2,21,Matches
Mattia Caldara,it ITA,DF,28-336,13.9,594,534,58,31,0,2,1,9,0,0,0,0,458,2,4,Matches
Simone Bastoni,it ITA,"MF,DF",26-152,10.7,482,381,100,22,2,4,89,34,44,25,15,0,289,1,30,Matches
Albin Ekdal,se SWE,MF,33-252,11.5,476,456,18,16,0,2,1,1,0,0,0,0,371,2,7,Matches
Daniele Verde,it ITA,"FW,MF",26-290,8.2,300,231,67,13,1,5,45,11,31,17,10,0,203,2,4,Matches
Viktor Kovalenko,ua UKR,MF,27-051,5.3,201,186,15,3,0,3,14,3,9,5,3,0,154,0,8,Matches
Eldor Shomurodov,uz UZB,FW,27-281,5.0,115,106,9,0,1,0,0,0,0,0,0,0,87,0,3,Matches
Petko Hristov,bg BUL,DF,24-036,4.1,207,168,38,9,0,3,1,29,0,0,0,0,160,1,1,Matches
Daniel Maldini,it ITA,"FW,MF",21-177,5.6,159,141,18,2,0,1,13,1,8,7,1,0,109,0,7,Matches
Salvatore Esposito,it ITA,MF,22-181,2.4,158,144,14,11,0,2,7,0,3,0,3,0,122,0,1,Matches
Jeroen Zoet,nl NED,GK,32-090,1.7,65,54,11,3,0,0,0,0,0,0,0,0,34,0,0,Matches
Mikael Ellertsson,is ISL,"MF,DF",21-026,1.9,40,39,1,0,0,0,3,0,1,1,0,0,24,0,1,Matches
Dávid Strelec,sk SVK,FW,22-002,1.9,43,40,3,0,0,0,0,0,0,0,0,0,25,0,2,Matches
Szymon Żurkowski,pl POL,MF,25-193,1.7,52,52,0,0,0,0,3,0,0,0,0,0,38,0,3,Matches
Jacopo Sala,it ITA,MF,31-122,1.2,46,40,6,4,0,0,4,1,0,0,0,0,36,0,5,Matches
Przemysław Wiśniewski,pl POL,DF,24-253,1.1,48,41,7,4,0,1,0,3,0,0,0,0,31,0,3,Matches
Salvador Ferrer,es ESP,DF,25-075,1.1,65,58,7,1,0,0,1,6,0,0,0,0,53,0,1,Matches
Petar Zovko,ba BIH,GK,21-012,0.8,36,21,15,2,0,0,0,0,0,0,0,0,22,0,0,Matches
Tio Cipot,si SVN,"FW,DF",19-351,0.7,32,28,4,1,0,0,1,2,1,1,0,0,24,0,1,Matches
Federico Marchetti,it ITA,GK,40-058,0.7,18,9,9,1,0,0,0,0,0,0,0,0,14,0,0,Matches
João Moutinho,pt POR,"DF,FW",25-084,0.6,42,34,8,0,0,0,3,8,0,0,0,0,30,0,2,Matches
Leandro Sanca,pt POR,"FW,MF",23-092,0.4,12,11,1,0,0,0,2,0,0,0,0,0,9,0,0,Matches
Raimonds Krollis,lv LVA,FW,21-160,0.2,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0,Matches
Julius Beck,dk DEN,MF,17-344,0.1,5,5,0,0,0,0,0,0,0,0,0,0,5,0,0,Matches
Squad Total,,,26.4,28.0,12097,10575,1478,343,19,82,458,655,141,86,41,0,9027,44,270,
Opponent Total,,,27.7,28.0,13933,12382,1487,408,53,117,535,668,148,55,62,0,10856,64,254,
