Player,minutes_played,matches_played,matches_started,tackles,tackles_won,defensive_third_tackles,midfield_tackles,attacking_third_tackles,shots_blocked,interceptions,clearances,errors_leading_to_goal,shot_creating_actions,sca_live_passes,sca_dead_passes,sca_take_ons,sca_shots,sca_fouls_drawn,sca_defensive_actions,goal_creation_actions,gca_live_passes,gca_dead_passes,gca_take_ons,gca_shots,gca_fouls_drawn,gca_defensive_actions,yellow_cards,red_cards,fouls,fouls_drawn,offsides,penalties_won,penalties_conceded,own_goals,ball_recoveries,aerial_duels_won,aerial_duels_lost,short_passes_completed,short_passes_attempted,medium_passes_completed,medium_passes_attempted,long_passes_completed,long_passes_attempted,assists,expected_assists,key_passes,passes_into_final_third,passes_into_penalty_box,crosses_into_penalty_area,progressive_passes,touches_penalty_area_defending,touches_defensive_third,touches_middle_third,touches_attacking_third,touches_penalty_area_attacking,attempted_take_ons,successful_take_ons,tackled_take_ons,carries,total_carrying_distance,progressive_carrying_distance,progressive_carries,carries_into_final_third,carries_into_penalty_area,carry_miscontrols,carry_dispossessions,goals,total_shots,shots_on_target,goals_per_shot,average_shot_distance,freekick_shots,penalty_kicks_converted,penalty_kicks_attempted,xG
Carlens Arcus,2008.0,24,22,42.0,27.0,22.0,14.0,6.0,4.0,62.0,54.0,1.0,65.0,55.0,4.0,0.0,2.0,3.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,23.0,8.0,2.0,0.0,0.0,0.0,142.0,34.0,18.0,562.0,627.0,363.0,436.0,88.0,154.0,2.0,2.0,30.0,82.0,23.0,17.0,95.0,74.0,425.0,699.0,437.0,28.0,37.0,12.0,20.0,701.0,3581.0,1742.0,48.0,37.0,8.0,27.0,11.0,1.0,16.0,5.0,0.06,22.7,0.0,0.0,0.0,0.8
Sondre Tronstad,1785.0,22,21,49.0,30.0,21.0,19.0,9.0,8.0,19.0,22.0,1.0,44.0,39.0,0.0,0.0,2.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,24.0,17.0,0.0,0.0,0.0,0.0,153.0,19.0,23.0,357.0,410.0,347.0,384.0,74.0,98.0,0.0,0.8,14.0,106.0,10.0,2.0,123.0,34.0,246.0,688.0,232.0,19.0,30.0,14.0,14.0,584.0,3180.0,1497.0,31.0,24.0,3.0,19.0,13.0,1.0,17.0,5.0,0.06,21.6,0.0,0.0,0.0,1.2
Million Manhoef,1759.0,26,20,18.0,11.0,7.0,7.0,4.0,1.0,7.0,8.0,0.0,62.0,42.0,2.0,9.0,7.0,2.0,0.0,6.0,3.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,26.0,18.0,10.0,0.0,0.0,0.0,88.0,4.0,17.0,213.0,260.0,142.0,203.0,21.0,57.0,2.0,3.7,25.0,27.0,35.0,9.0,55.0,12.0,85.0,314.0,507.0,76.0,102.0,34.0,57.0,571.0,4339.0,2052.0,61.0,52.0,32.0,75.0,42.0,6.0,51.0,25.0,0.12,18.9,3.0,0.0,0.0,4.6
Kjell Scherpen,1674.0,19,19,0.0,0.0,0.0,0.0,0.0,0.0,1.0,14.0,4.0,5.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,42.0,6.0,3.0,63.0,63.0,201.0,206.0,174.0,411.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,590.0,730.0,2.0,0.0,0.0,0.0,0.0,0.0,421.0,2210.0,1246.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0
Kacper Kozłowski,1525.0,22,19,31.0,17.0,16.0,10.0,5.0,2.0,12.0,4.0,0.0,58.0,36.0,6.0,3.0,3.0,8.0,2.0,8.0,4.0,0.0,1.0,0.0,2.0,1.0,3.0,0.0,23.0,36.0,2.0,0.0,0.0,0.0,108.0,17.0,16.0,216.0,270.0,147.0,205.0,47.0,79.0,4.0,4.0,28.0,48.0,22.0,7.0,72.0,17.0,156.0,383.0,323.0,51.0,97.0,35.0,55.0,527.0,3226.0,1546.0,42.0,24.0,8.0,52.0,25.0,1.0,22.0,7.0,0.05,20.1,0.0,0.0,0.0,1.1
Enzo Cornelisse,1321.0,18,15,23.0,12.0,13.0,10.0,0.0,5.0,9.0,38.0,0.0,8.0,6.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,7.0,9.0,0.0,0.0,0.0,0.0,77.0,19.0,25.0,217.0,247.0,278.0,312.0,61.0,114.0,0.0,0.4,2.0,49.0,1.0,0.0,49.0,76.0,315.0,445.0,53.0,13.0,7.0,3.0,1.0,434.0,2244.0,1419.0,14.0,8.0,0.0,12.0,2.0,0.0,8.0,2.0,0.0,12.5,1.0,0.0,0.0,1.1
Bartosz Bialek,1273.0,19,15,4.0,0.0,2.0,1.0,1.0,1.0,0.0,11.0,0.0,33.0,17.0,1.0,3.0,5.0,7.0,0.0,3.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,19.0,16.0,4.0,0.0,0.0,0.0,28.0,16.0,51.0,83.0,115.0,45.0,69.0,9.0,17.0,1.0,1.1,16.0,6.0,6.0,0.0,17.0,15.0,32.0,157.0,210.0,65.0,35.0,14.0,19.0,229.0,802.0,228.0,9.0,8.0,10.0,45.0,21.0,3.0,27.0,6.0,0.11,13.7,0.0,0.0,0.0,3.7
Gabriel Vidovic,1154.0,22,14,9.0,5.0,1.0,5.0,3.0,0.0,7.0,2.0,0.0,36.0,24.0,0.0,5.0,2.0,5.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,8.0,31.0,1.0,0.0,0.0,0.0,70.0,5.0,8.0,152.0,167.0,93.0,101.0,16.0,24.0,0.0,1.1,12.0,22.0,9.0,1.0,36.0,6.0,69.0,214.0,203.0,41.0,61.0,25.0,25.0,320.0,1997.0,858.0,23.0,24.0,11.0,39.0,27.0,3.0,17.0,8.0,0.18,17.8,0.0,0.0,0.0,1.1
Alois Oroz,812.0,10,9,9.0,7.0,8.0,1.0,0.0,3.0,14.0,42.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,11.0,0.0,0.0,0.0,0.0,1.0,42.0,16.0,10.0,93.0,111.0,176.0,197.0,44.0,89.0,0.0,0.1,0.0,21.0,0.0,0.0,18.0,62.0,287.0,204.0,7.0,5.0,0.0,0.0,0.0,250.0,1093.0,413.0,2.0,3.0,0.0,3.0,0.0,1.0,5.0,1.0,0.2,9.6,0.0,0.0,0.0,0.8
Daan Reiziger,576.0,8,6,2.0,0.0,2.0,0.0,0.0,0.0,1.0,6.0,0.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,4.0,0.0,15.0,17.0,31.0,31.0,52.0,156.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,198.0,222.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,844.0,448.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0
