Player,Nation,Pos,Age,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%.1,Matches
Guglielmo Vicario,it ITA,GK,26-181,24,24,2160,24.0,31,1.29,104,73,72.1,6,10,8,7,29.2,4,2,1,1,33.3,Matches
Samuele Perisan,it ITA,GK,25-228,4,4,360,4.0,5,1.25,11,6,54.5,1,0,3,1,25.0,0,0,0,0,,Matches
Squad Total,,,25.9,28,28,2520,28.0,36,1.29,115,79,70.4,7,10,11,8,28.6,4,2,1,1,33.3,
Opponent Total,,,27.3,28,28,2520,28.0,25,0.89,103,78,76.7,11,10,7,8,28.6,1,1,0,0,0.0,
