Player,Nation,Pos,Age,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl.1,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
Sebastiano Luperto,it ITA,DF,26-194,24.0,23,12,15,8,0,6,12,50.0,6,39,28,11,27,50,118,1,Matches
Guglielmo Vicario,it ITA,GK,26-163,24.0,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,12,2,Matches
Fabiano Parisi,it ITA,DF,22-130,22.5,50,26,30,15,5,26,51,51.0,25,39,14,25,25,75,63,0,Matches
Filippo Bandinelli,it ITA,MF,27-355,19.3,44,28,15,21,8,12,29,41.4,17,17,5,12,10,54,29,0,Matches
Răzvan Marin,ro ROU,MF,26-300,20.5,36,18,21,15,0,15,32,46.9,17,26,10,16,12,48,21,0,Matches
Martin Satriano,uy URU,FW,22-027,18.0,13,8,5,6,2,6,9,66.7,3,5,0,5,3,16,19,0,Matches
Ardian Ismajli,al ALB,DF,26-170,18.6,36,28,22,14,0,16,21,76.2,5,40,26,14,23,59,104,0,Matches
Tommaso Baldanzi,it ITA,MF,19-361,12.9,19,9,7,11,1,5,22,22.7,17,12,1,11,2,21,4,0,Matches
Petar Stojanović,si SVN,DF,27-163,15.3,38,20,24,10,4,23,38,60.5,15,15,4,11,11,49,52,0,Matches
Tyronne Ebuehi,ng NGA,DF,27-093,11.9,13,8,4,6,3,5,7,71.4,2,16,9,7,6,19,39,1,Matches
Francesco Caputo,it ITA,FW,35-225,10.7,2,2,0,1,1,0,0,,0,5,2,3,1,3,4,0,Matches
Jean-Daniel Akpa-Akpro,ci CIV,MF,30-159,10.2,36,27,18,13,5,12,21,57.1,9,28,4,24,12,48,23,0,Matches
Nicolas Haas,ch SUI,MF,27-055,10.6,23,11,12,6,5,10,20,50.0,10,13,4,9,7,30,22,0,Matches
Koni De Winter,be BEL,DF,20-280,9.9,14,8,11,3,0,5,8,62.5,3,10,10,0,6,20,51,0,Matches
Sam Lammers,nl NED,FW,25-323,9.8,20,10,5,9,6,7,11,63.6,4,4,1,3,3,23,8,0,Matches
Liam Henderson,sct SCO,MF,26-328,8.7,9,8,4,4,1,4,16,25.0,12,8,2,6,8,17,8,0,Matches
Nedim Bajrami,al ALB,"MF,FW",24-019,10.5,8,4,3,3,2,4,6,66.7,2,5,0,5,7,15,4,0,Matches
Alberto Grassi,it ITA,MF,28-012,6.3,18,15,10,8,0,10,12,83.3,2,12,8,4,17,35,25,0,Matches
Mattia Destro,it ITA,FW,31-364,5.1,1,1,0,1,0,0,0,,0,2,0,2,1,2,4,0,Matches
Marko Pjaca,hr CRO,"MF,FW",27-317,5.1,2,1,1,1,0,2,4,50.0,2,1,0,1,1,3,0,0,Matches
Nicolò Cambiaghi,it ITA,"FW,MF",22-081,6.4,15,11,7,4,4,3,7,42.9,4,9,1,8,4,19,5,0,Matches
Liberato Cacace,nz NZL,DF,22-173,4.3,19,7,10,6,3,8,12,66.7,4,10,5,5,4,23,11,0,Matches
Jacopo Fazzini,it ITA,MF,20-003,4.1,17,9,13,3,1,9,15,60.0,6,10,2,8,5,22,8,0,Matches
Samuele Perisan,it ITA,GK,25-210,3.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
Sebastian Walukiewicz,pl POL,DF,22-348,1.8,2,1,1,1,0,0,1,0.0,1,3,3,0,1,3,12,0,Matches
Roberto Piccoli,it ITA,"FW,MF",22-051,1.5,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,3,0,Matches
Emanuel Vignato,it ITA,"FW,MF",22-207,0.3,2,0,2,0,0,0,0,,0,0,0,0,0,2,0,0,Matches
Emmanuel Ekong,se SWE,"FW,MF",20-267,0.2,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
Duccio Degli Innocenti,it ITA,MF,19-325,0.0,0,0,0,0,0,0,0,,0,0,0,0,1,1,0,0,Matches
Herculano Nabian,pt POR,MF,19-053,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
Squad Total,,,25.9,27.0,460,272,240,169,51,188,356,52.8,168,329,139,190,197,657,649,4,
Opponent Total,,,27.3,27.0,493,268,227,198,68,223,408,54.7,185,335,99,236,240,733,435,7,
