Player,Nation,Pos,Age,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%.1,Matches
Agustín Marchesín,ar ARG,GK,35-003,19,19,1710,19.0,29,1.53,72,42,62.5,5,5,9,6,31.6,4,2,2,0,50.0,Matches
Iván Villar,es ESP,GK,25-253,7,7,630,7.0,6,0.86,26,20,80.8,4,2,1,3,42.9,1,1,0,0,0.0,Matches
Squad Total,,,27.6,26,26,2340,26.0,35,1.35,98,62,67.3,9,7,10,9,34.6,5,3,2,0,40.0,
Opponent Total,,,28.4,26,26,2340,26.0,32,1.23,105,74,71.4,10,7,9,6,23.1,3,2,1,0,33.3,
