Player,Nation,Pos,Age,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%.1,Matches
Emil Audero,it ITA,GK,26-075,25,25,2250,25.0,39,1.56,121,82,71.9,2,6,17,4,16.0,7,5,2,0,28.6,Matches
Martin Turk,si SVN,GK,19-225,2,2,180,2.0,5,2.5,13,8,61.5,1,0,1,0,0.0,1,0,0,1,,Matches
Squad Total,,,28.5,27,27,2430,27.0,44,1.63,134,90,70.9,3,6,18,4,14.8,8,5,2,1,28.6,
Opponent Total,,,27.5,27,27,2430,27.0,16,0.59,85,68,82.4,18,6,3,16,59.3,2,1,1,0,50.0,
