Player,Nation,Pos,Age,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%.1,Matches
Benjamin Leroy,fr FRA,GK,33-346,24,24,2078,23.1,42,1.82,97,55,61.9,5,3,16,2,8.3,6,5,0,1,0.0,Matches
François-Joseph Sollacaro,fr FRA,GK,28-363,3,3,270,3.0,6,2.0,7,1,14.3,1,0,2,0,0.0,0,0,0,0,,Matches
Ghjuvanni Quilichini,fr FRA,GK,20-199,1,0,82,0.9,0,0.0,4,4,100.0,0,0,0,1,,0,0,0,0,,Matches
Squad Total,,,30.0,27,27,2430,27.0,48,1.78,108,60,60.2,6,3,18,3,11.1,6,5,0,1,0.0,
Opponent Total,,,26.7,27,27,2427,27.0,20,0.74,76,55,81.6,18,3,6,14,51.9,9,6,2,1,25.0,
