Player,Nation,Pos,Age,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,Matches
Benjamin Leroy,fr FRA,GK,33-346,23.1,628,382,241,94,0,0,0,0,0,0,0,0,377,5,0,Matches
Mounaim El Idrissy,fr FRA,FW,24-037,20.7,464,424,37,0,1,1,17,3,0,0,0,0,311,3,16,Matches
Vincent Marchetti,fr FRA,MF,25-258,20.4,840,817,20,14,8,14,4,6,0,0,0,0,672,3,26,Matches
Mohamed Youssouf,km COM,DF,34-358,20.4,1048,813,231,15,0,0,75,216,0,0,0,0,775,4,42,Matches
Oumar Gonzalez,cm CMR,DF,25-022,19.6,793,763,30,29,1,1,2,1,0,0,0,0,649,0,2,Matches
Cyrille Bayala,bf BFA,MF,26-299,17.7,537,503,31,1,4,0,34,30,0,0,0,0,328,3,25,Matches
Ismael Diallo,ci CIV,DF,26-049,19.0,873,719,152,10,4,3,29,142,0,0,0,0,656,2,21,Matches
Cédric Avinel,gp GLP,DF,36-189,16.2,610,592,18,18,0,1,0,0,0,0,0,0,518,0,2,Matches
Mathieu Coutadeur,fr FRA,MF,36-364,13.9,819,772,45,43,5,5,4,2,0,0,0,0,693,2,10,Matches
Youcef Belaïli,dz ALG,"MF,FW",31-005,11.4,409,351,54,22,4,2,39,11,14,3,6,0,294,4,10,Matches
Riad Nouri,fr FRA,MF,37-285,14.0,494,448,42,19,0,1,78,8,15,1,12,0,326,4,20,Matches
Clément Vidal,fr FRA,"DF,MF",22-274,12.1,521,502,19,8,0,0,3,11,0,0,0,0,396,0,8,Matches
Mickaël Alphonse,gp GLP,DF,33-250,11.6,557,432,123,5,0,0,23,118,0,0,0,0,363,2,18,Matches
Romain Hamouma,fr FRA,"FW,MF",35-355,9.5,290,238,50,11,0,1,49,5,20,4,14,0,206,2,10,Matches
Thomas Mangani,fr FRA,MF,35-324,9.9,658,558,97,57,1,6,61,3,37,17,15,0,446,3,13,Matches
Bevic Moussiti-Oko,cg CGO,FW,28-050,7.8,163,150,11,0,0,0,4,0,0,0,0,0,90,2,7,Matches
Youssouf Koné,ml MLI,DF,27-257,5.8,221,191,30,2,0,2,13,28,0,0,0,0,168,0,3,Matches
Mickaël Barreto,fr FRA,MF,32-060,6.9,337,289,47,30,0,4,41,7,10,1,5,0,233,1,12,Matches
Fernand Mayembo,cg CGO,DF,27-069,6.0,248,239,9,8,0,1,0,0,0,0,0,0,216,0,1,Matches
Kevin Spadanuda,ch SUI,"MF,FW",26-062,5.6,128,121,7,0,0,1,3,7,0,0,0,0,103,0,0,Matches
Yoann Touzghar,tn TUN,FW,36-111,4.3,99,95,4,0,0,0,2,0,0,0,0,0,70,0,9,Matches
Florian Chabrolle,fr FRA,MF,24-346,3.6,133,129,4,3,0,0,0,0,0,0,0,0,116,0,0,Matches
Yanis Cimignani,fr FRA,"MF,DF",21-056,3.1,113,101,11,1,0,0,10,9,1,1,0,0,75,1,6,Matches
François-Joseph Sollacaro,fr FRA,GK,28-363,3.0,63,41,22,8,0,0,0,0,0,0,0,0,35,0,0,Matches
Kouamé Botué,bf BFA,"FW,MF",20-224,2.5,47,47,0,0,0,0,0,0,0,0,0,0,33,0,1,Matches
Qazim Laçi,al ALB,MF,27-059,2.4,142,134,8,5,0,1,8,0,3,1,2,0,111,0,2,Matches
Moussa Soumano,fr FRA,"FW,MF",17-253,1.5,20,16,3,0,0,0,1,0,0,0,0,0,11,1,2,Matches
Moussa Djitte,sn SEN,FW,23-166,1.3,26,26,0,0,0,0,0,0,0,0,0,0,19,0,1,Matches
Ghjuvanni Quilichini,fr FRA,GK,20-199,0.9,34,20,14,6,0,0,0,0,0,0,0,0,14,0,0,Matches
Paolo Lebas,pt POR,MF,19-333,0.6,16,15,1,1,0,0,0,0,0,0,0,0,12,0,0,Matches
Ruan Levine,br BRA,MF,24-059,0.3,13,13,0,0,0,0,0,0,0,0,0,0,12,0,1,Matches
Mehdi Puch Herrantz,fr FRA,MF,19-058,0.3,18,18,0,0,0,0,0,0,0,0,0,0,14,0,0,Matches
Anthony Khelifa,fr FRA,DF,17-180,0.1,12,11,1,1,0,0,0,0,0,0,0,0,11,0,0,Matches
Squad Total,,,30.0,27.0,11374,9970,1362,411,28,44,500,607,100,28,54,0,8353,42,268,
Opponent Total,,,26.7,27.0,13870,12455,1362,406,29,82,392,604,103,44,34,0,10906,53,205,
