Player,Nation,Pos,Age,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Matches
Illan Meslier,fr FRA,GK,23-031,28.0,941,755,935,5,2,1,941,0,0,,0,,480,2850,1660,0,0,0,1,1,344,0,Matches
Robin Koch,de GER,DF,26-259,26.3,1474,216,825,609,51,13,1474,0,0,,0,,759,3500,1883,9,6,0,7,1,831,5,Matches
Tyler Adams,us USA,MF,24-047,24.0,1628,44,376,1010,254,5,1628,22,7,31.8,12,54.5,818,3342,1555,19,21,0,28,18,919,20,Matches
Brenden Aaronson,us USA,"MF,FW",22-162,22.4,968,10,99,418,472,62,968,89,32,36.0,43,48.3,587,3214,1340,39,30,13,60,68,654,123,Matches
Jack Harrison,eng ENG,"FW,MF",26-133,21.3,1100,19,114,408,590,61,1100,78,33,42.3,38,48.7,688,3666,1827,75,39,18,73,45,748,179,Matches
Marc Roca,es ESP,MF,26-127,19.0,1190,36,257,700,238,19,1190,20,11,55.0,7,35.0,634,2812,1473,17,14,4,18,16,743,18,Matches
Pascal Struijk,nl NED,DF,23-234,19.7,1351,66,405,606,346,25,1351,18,9,50.0,7,38.9,567,2169,1116,22,21,1,23,9,667,45,Matches
Rodrigo,es ESP,"FW,MF",32-027,15.2,586,16,56,281,251,82,585,18,7,38.9,11,61.1,334,1679,674,33,13,20,40,14,413,113,Matches
Luke Ayling,eng ENG,DF,31-220,14.8,899,52,328,362,223,35,899,26,10,38.5,14,53.8,406,1857,965,16,9,3,17,7,440,53,Matches
Rasmus Nissen,dk DEN,DF,25-265,14.4,895,51,302,369,229,19,895,12,6,50.0,5,41.7,354,1049,487,13,5,4,3,1,441,62,Matches
Liam Cooper,sct SCO,DF,31-215,12.5,753,81,394,336,29,18,753,3,1,33.3,0,0.0,361,1650,714,1,2,0,8,1,398,1,Matches
Degnand Gnonto,it ITA,"FW,MF",19-148,11.8,577,6,73,199,320,34,577,63,16,25.4,37,58.7,398,2784,1467,57,32,15,27,16,420,116,Matches
Patrick Bamford,eng ENG,FW,29-209,10.7,350,11,23,161,170,54,349,19,4,21.1,12,63.2,175,702,284,10,10,9,36,9,243,65,Matches
Crysencio Summerville,nl NED,FW,21-154,12.1,516,7,79,196,254,53,516,46,19,41.3,18,39.1,346,2091,1129,45,23,13,37,30,364,68,Matches
Maximilian Wöber,at AUT,DF,25-057,8.8,530,65,251,248,34,11,530,0,0,,0,,280,1511,897,7,3,0,3,1,281,3,Matches
Luis Sinisterra,co COL,FW,23-289,6.7,325,2,33,151,146,19,325,29,13,44.8,12,41.4,197,1117,598,19,9,6,11,16,238,56,Matches
Junior Firpo,es ESP,DF,26-223,9.2,511,25,179,239,99,8,511,10,5,50.0,5,50.0,241,1029,558,15,12,0,6,7,250,23,Matches
Diego Llorente,es ESP,DF,29-229,7.2,506,59,283,210,15,6,506,3,2,66.7,1,33.3,303,1566,721,2,1,0,6,1,312,1,Matches
Weston McKennie,us USA,MF,24-217,6.7,357,22,95,179,89,6,357,7,6,85.7,1,14.3,194,879,358,8,10,0,9,15,226,14,Matches
Sam Greenwood,eng ENG,"MF,FW",21-066,3.8,220,6,41,93,90,5,220,5,1,20.0,3,60.0,100,452,239,7,6,1,5,5,106,7,Matches
Daniel James,wls WAL,FW,25-143,2.2,66,1,9,26,32,6,66,6,1,16.7,2,33.3,35,233,112,6,2,3,3,1,39,9,Matches
Adam Forshaw,eng ENG,MF,31-176,1.8,79,2,14,56,11,0,79,5,4,80.0,1,20.0,44,221,90,0,2,0,4,1,51,0,Matches
Joe Gelhardt,eng ENG,FW,20-333,2.4,115,4,10,52,54,14,115,9,1,11.1,7,77.8,68,189,66,2,2,2,9,7,84,21,Matches
Georginio Rutter,fr FRA,"FW,MF",20-347,2.3,96,4,12,39,46,10,96,22,8,36.4,11,50.0,58,307,122,5,1,2,10,12,67,12,Matches
Cody Drameh,eng ENG,DF,21-115,0.8,44,1,7,26,11,0,44,1,1,100.0,0,0.0,17,48,10,0,1,0,1,1,23,3,Matches
Mateusz Klich,pl POL,"MF,FW",32-293,3.1,189,3,25,82,85,9,189,6,2,33.3,4,66.7,110,385,149,5,5,2,11,1,124,21,Matches
Mateo Joseph,eng ENG,"FW,MF",19-165,0.3,9,1,1,5,3,1,9,1,0,0.0,1,100.0,5,13,0,0,0,0,1,3,6,2,Matches
Darko Gyabi,eng ENG,FW,19-043,0.1,8,0,1,4,3,1,8,1,0,0.0,0,0.0,4,5,3,0,0,0,1,0,2,0,Matches
Squad Total,,,25.7,28.0,16283,1565,5227,7070,4147,577,16281,519,199,38.3,252,48.6,8563,41320,20497,432,279,116,458,307,9434,1040,
Opponent Total,,,27.3,28.0,17519,1807,6025,7704,3946,617,17516,698,303,43.4,311,44.6,9374,48064,24257,437,303,139,473,324,10648,1034,
