Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Goals,Goals,Goals,Goals,Goals,Expected,Expected,Expected,Expected,Launched,Launched,Launched,Passes,Passes,Passes,Passes,Goal Kicks,Goal Kicks,Goal Kicks,Crosses,Crosses,Crosses,Sweeper,Sweeper,Sweeper,Unnamed: 30_level_0
Player,Nation,Pos,Age,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att,Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,Matches
Illan Meslier,fr FRA,GK,23-016,26.0,42,2,1,5,1,35.0,0.29,-6.0,-0.23,78,345,22.6,602,155,39.2,33.7,205,53.2,42.0,333,27,8.1,54,2.08,16.4,Matches
Squad Total,,,25.7,26.0,42,2,1,5,1,35.0,0.29,-6.0,-0.23,78,345,22.6,602,155,39.2,33.7,205,53.2,42.0,333,27,8.1,54,2.08,16.4,
Opponent Total,,,27.2,26.0,31,1,0,6,2,28.5,0.29,-0.5,-0.02,118,369,32.0,740,130,38.0,33.8,188,46.8,39.1,334,27,8.1,28,1.08,14.1,
