Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,Unnamed: 19_level_0,Unnamed: 20_level_0,Unnamed: 21_level_0,Unnamed: 22_level_0,Unnamed: 23_level_0,Unnamed: 24_level_0,Unnamed: 25_level_0,Unnamed: 26_level_0,Unnamed: 27_level_0,Unnamed: 28_level_0
Player,Nation,Pos,Age,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches
Robert Sánchez,es ESP,GK,25-083,20.0,516,692,74.6,12086,7881,157,158,99.4,250,259,96.5,102,260,39.2,0,0.0,0.0,0.0,0,11,0,0,0,Matches
Lewis Dunk,eng ENG,DF,31-080,20.0,1425,1586,89.8,28133,10257,470,494,95.1,764,801,95.4,171,255,67.1,0,0.1,0.3,-0.1,1,85,4,0,68,Matches
Pascal Groß,de GER,"MF,DF",31-239,19.2,874,1147,76.2,14330,4203,445,499,89.2,334,408,81.9,69,172,40.1,3,5.1,3.8,-2.1,41,78,30,3,133,Matches
Solly March,eng ENG,"FW,DF",28-204,19.1,577,796,72.5,10290,2385,267,313,85.3,228,299,76.3,66,127,52.0,4,2.7,2.8,1.3,27,36,28,8,81,Matches
Moisés Caicedo,ec ECU,MF,21-099,18.2,968,1102,87.8,15212,4144,513,561,91.4,351,391,89.8,75,90,83.3,1,1.4,1.2,-0.4,22,87,24,4,117,Matches
Alexis Mac Allister,ar ARG,MF,24-047,16.2,842,954,88.3,13929,3363,407,446,91.3,359,382,94.0,56,78,71.8,0,1.1,1.3,-1.1,16,77,11,1,73,Matches
Leandro Trossard,be BEL,"FW,MF",28-067,14.6,379,529,71.6,6222,1920,199,236,84.3,124,178,69.7,40,63,63.5,2,2.1,2.1,-0.1,23,42,25,7,67,Matches
Joël Veltman,nl NED,DF,31-025,14.3,768,928,82.8,13708,4534,305,338,90.2,392,446,87.9,59,106,55.7,1,0.2,0.6,0.8,3,109,5,3,96,Matches
Pervis Estupiñán,ec ECU,DF,25-019,13.0,694,859,80.8,10081,3309,396,444,89.2,242,294,82.3,29,53,54.7,2,2.0,1.6,0.0,18,48,21,7,74,Matches
Adam Webster,eng ENG,DF,28-036,13.0,780,904,86.3,14775,5472,294,320,91.9,397,446,89.0,82,119,68.9,0,0.0,0.3,0.0,2,74,4,1,65,Matches
Danny Welbeck,eng ENG,FW,32-075,12.7,183,222,82.4,2130,354,118,137,86.1,47,54,87.0,2,6,33.3,2,2.5,1.2,-0.5,16,15,7,0,21,Matches
Adam Lallana,eng ENG,"MF,FW",34-275,8.0,262,317,82.6,3033,656,173,194,89.2,57,74,77.0,6,9,66.7,1,1.0,1.2,0.0,14,23,9,1,33,Matches
Kaoru Mitoma,jp JPN,"FW,DF",25-265,9.3,319,402,79.4,4296,929,212,238,89.1,89,115,77.4,7,15,46.7,1,2.6,2.7,-1.6,13,14,15,0,36,Matches
Levi Colwill,eng ENG,DF,19-348,5.1,379,424,89.4,6766,2803,161,177,91.0,177,193,91.7,35,44,79.5,0,0.1,0.2,-0.1,2,23,3,0,20,Matches
Tariq Lamptey,gh GHA,DF,22-132,4.4,200,254,78.7,2923,734,108,126,85.7,81,95,85.3,4,20,20.0,0,0.1,0.6,-0.1,3,12,8,5,23,Matches
Enock Mwepu,zm ZAM,"FW,MF",25-039,2.4,61,78,78.2,819,126,42,50,84.0,15,17,88.2,3,5,60.0,1,0.5,0.2,0.5,3,5,2,0,6,Matches
Evan Ferguson,ie IRL,FW,18-113,2.2,35,45,77.8,420,55,26,30,86.7,7,9,77.8,1,1,100.0,2,0.3,0.3,1.7,3,1,2,0,3,Matches
Billy Gilmour,sct SCO,MF,21-243,1.8,142,154,92.2,2460,520,63,67,94.0,64,67,95.5,13,16,81.3,0,0.1,0.4,-0.1,1,10,4,0,17,Matches
Deniz Undav,de GER,"FW,MF",26-205,1.9,40,44,90.9,444,102,27,30,90.0,7,7,100.0,1,1,100.0,0,0.7,0.6,-0.7,5,1,2,0,3,Matches
Jeremy Sarmiento,ec ECU,MF,20-238,1.8,46,59,78.0,608,143,27,32,84.4,14,17,82.4,1,2,50.0,1,0.2,0.2,0.8,2,4,3,1,8,Matches
Jan Paul van Hecke,nl NED,DF,22-246,0.9,93,97,95.9,1886,436,20,20,100.0,68,70,97.1,5,6,83.3,0,0.0,0.0,0.0,0,12,0,0,9,Matches
Julio César Enciso,py PAR,"FW,MF",19-017,1.5,19,29,65.5,210,53,12,16,75.0,5,8,62.5,0,1,0.0,0,0.1,0.1,-0.1,1,2,1,0,3,Matches
Facundo Buonanotte,ar ARG,"MF,FW",18-048,0.2,7,8,87.5,89,3,6,7,85.7,0,0,,1,1,100.0,0,0.0,0.0,0.0,1,0,0,0,1,Matches
Andrew Moran,ie IRL,FW,19-117,0.1,1,2,50.0,13,0,1,1,100.0,0,1,0.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches
Squad Total,,,27.4,20.0,9610,11632,82.6,164863,54382,4449,4934,90.2,4072,4631,87.9,828,1450,57.1,21,22.4,21.7,-1.4,217,769,208,41,957,
Opponent Total,,,27.2,20.0,6608,8497,77.8,114294,43484,3110,3553,87.5,2692,3178,84.7,616,1286,47.9,13,14.4,13.2,-1.4,143,483,122,25,596,
