Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Starts,Starts,Starts,Subs,Subs,Subs,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG),Unnamed: 26_level_0
Player,Nation,Pos,Age,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off,Matches
Robert Sánchez,es ESP,GK,25-083,20,1800.0,90.0,100.0,20.0,20,90.0,20,0,,0,1.7,38.0,27.0,11.0,0.55,,31.3,25.1,6.2,0.31,,Matches
Lewis Dunk,eng ENG,DF,31-080,20,1799.0,90.0,99.9,20.0,20,90.0,19,0,,0,1.7,38.0,27.0,11.0,0.55,0.55,31.3,25.0,6.2,0.31,0.87,Matches
Pascal Groß,de GER,"MF,DF",31-239,20,1731.0,87.0,96.2,19.2,20,87.0,14,0,,0,1.7,37.0,27.0,10.0,0.52,-0.78,30.2,24.8,5.4,0.28,-0.83,Matches
Solly March,eng ENG,"FW,DF",28-204,20,1717.0,86.0,95.4,19.1,20,86.0,11,0,,0,1.7,36.0,26.0,10.0,0.52,-0.56,30.1,23.6,6.5,0.34,0.66,Matches
Moisés Caicedo,ec ECU,MF,21-099,19,1639.0,86.0,91.1,18.2,18,89.0,15,1,34.0,0,1.79,35.0,23.0,12.0,0.66,1.22,27.9,21.8,6.2,0.34,0.31,Matches
Alexis Mac Allister,ar ARG,MF,24-047,17,1457.0,86.0,80.9,16.2,16,89.0,14,1,29.0,0,1.65,28.0,22.0,6.0,0.37,-0.94,25.3,18.7,6.6,0.41,0.5,Matches
Leandro Trossard,be BEL,"FW,MF",28-067,16,1315.0,82.0,73.1,14.6,16,82.0,5,0,,1,1.5,23.0,23.0,0.0,0.0,-2.04,20.5,19.4,1.1,0.08,-0.87,Matches
Joël Veltman,nl NED,DF,31-025,18,1283.0,71.0,71.3,14.3,14,83.0,9,4,30.0,1,1.72,25.0,16.0,9.0,0.63,0.28,22.9,15.5,7.4,0.52,0.71,Matches
Pervis Estupiñán,ec ECU,DF,25-019,17,1171.0,69.0,65.1,13.0,14,80.0,7,3,18.0,1,1.71,28.0,21.0,7.0,0.54,-0.03,20.2,18.1,2.1,0.16,-0.43,Matches
