Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,SCA,SCA,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,GCA,GCA,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,Unnamed: 21_level_0
Player,Nation,Pos,Age,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def,Matches
Robert Sánchez,es ESP,GK,25-083,20.0,1,0.05,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Lewis Dunk,eng ENG,DF,31-080,20.0,9,0.45,9,0,0,0,0,0,1,0.05,1,0,0,0,0,0,Matches
Pascal Groß,de GER,"MF,DF",31-239,19.2,72,3.74,46,22,0,3,0,1,5,0.26,5,0,0,0,0,0,Matches
Solly March,eng ENG,"FW,DF",28-204,19.1,70,3.67,48,5,7,6,3,1,7,0.37,6,0,0,1,0,0,Matches
Moisés Caicedo,ec ECU,MF,21-099,18.2,40,2.2,38,0,0,2,0,0,3,0.16,3,0,0,0,0,0,Matches
Alexis Mac Allister,ar ARG,MF,24-047,16.2,39,2.41,28,5,2,2,1,1,3,0.19,3,0,0,0,0,0,Matches
Leandro Trossard,be BEL,"FW,MF",28-067,14.6,51,3.49,39,0,7,4,1,0,9,0.62,5,0,3,0,1,0,Matches
Joël Veltman,nl NED,DF,31-025,14.3,17,1.19,14,2,0,0,0,1,2,0.14,2,0,0,0,0,0,Matches
Pervis Estupiñán,ec ECU,DF,25-019,13.0,36,2.77,34,0,0,0,2,0,5,0.38,4,0,0,0,1,0,Matches
Adam Webster,eng ENG,DF,28-036,13.0,10,0.77,9,1,0,0,0,0,1,0.08,1,0,0,0,0,0,Matches
Danny Welbeck,eng ENG,FW,32-075,12.7,30,2.36,21,0,2,2,4,1,7,0.55,4,0,1,0,2,0,Matches
Adam Lallana,eng ENG,"MF,FW",34-275,8.0,22,2.75,22,0,0,0,0,0,2,0.25,2,0,0,0,0,0,Matches
Kaoru Mitoma,jp JPN,"FW,DF",25-265,9.3,36,3.86,27,0,5,2,2,0,6,0.64,4,0,1,1,0,0,Matches
Levi Colwill,eng ENG,DF,19-348,5.1,5,0.97,5,0,0,0,0,0,1,0.19,1,0,0,0,0,0,Matches
Tariq Lamptey,gh GHA,DF,22-132,4.4,12,2.74,11,0,0,0,1,0,0,0.0,0,0,0,0,0,0,Matches
Enock Mwepu,zm ZAM,"FW,MF",25-039,2.4,7,2.96,6,0,1,0,0,0,2,0.85,1,0,1,0,0,0,Matches
Evan Ferguson,ie IRL,FW,18-113,2.2,6,2.71,6,0,0,0,0,0,2,0.9,2,0,0,0,0,0,Matches
Billy Gilmour,sct SCO,MF,21-243,1.8,3,1.66,3,0,0,0,0,0,1,0.55,1,0,0,0,0,0,Matches
Deniz Undav,de GER,"FW,MF",26-205,1.9,9,4.63,5,0,0,4,0,0,0,0.0,0,0,0,0,0,0,Matches
Jeremy Sarmiento,ec ECU,MF,20-238,1.8,8,4.36,4,0,1,2,1,0,2,1.09,2,0,0,0,0,0,Matches
Jan Paul van Hecke,nl NED,DF,22-246,0.9,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Julio César Enciso,py PAR,"FW,MF",19-017,1.5,5,3.44,1,0,1,3,0,0,1,0.69,0,0,0,1,0,0,Matches
Facundo Buonanotte,ar ARG,"MF,FW",18-048,0.2,1,5.63,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Andrew Moran,ie IRL,FW,19-117,0.1,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Squad Total,,,27.4,20.0,489,24.45,378,35,26,30,15,5,60,3.0,47,0,6,3,4,0,
Opponent Total,,,27.2,20.0,346,17.3,238,34,19,28,21,6,39,1.95,24,0,3,7,4,1,
