Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 33_level_0
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Robert Sánchez,es ESP,GK,25-083,20,20,1800.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Lewis Dunk,eng ENG,DF,31-080,20,20,1799.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.8,0.8,0.1,0.9,11.0,68.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.04,0.04,0.04,Matches
Pascal Groß,de GER,"MF,DF",31-239,20,20,1731.0,19.2,6.0,3.0,9.0,6.0,0.0,0.0,2.0,0.0,3.3,3.3,5.1,8.4,27.0,133.0,118.0,0.31,0.16,0.47,0.31,0.47,0.17,0.27,0.44,0.17,0.44,Matches
Solly March,eng ENG,"FW,DF",28-204,20,20,1717.0,19.1,4.0,4.0,8.0,4.0,0.0,0.0,2.0,0.0,4.5,4.5,2.7,7.2,59.0,81.0,213.0,0.21,0.21,0.42,0.21,0.42,0.24,0.14,0.38,0.24,0.38,Matches
Moisés Caicedo,ec ECU,MF,21-099,19,18,1639.0,18.2,1.0,1.0,2.0,1.0,0.0,0.0,6.0,0.0,1.0,1.0,1.4,2.4,15.0,117.0,30.0,0.05,0.05,0.11,0.05,0.11,0.05,0.08,0.13,0.05,0.13,Matches
Alexis Mac Allister,ar ARG,MF,24-047,17,16,1457.0,16.2,5.0,0.0,5.0,2.0,3.0,3.0,5.0,0.0,3.8,1.5,1.1,2.5,20.0,73.0,17.0,0.31,0.0,0.31,0.12,0.12,0.24,0.07,0.3,0.09,0.16,Matches
Leandro Trossard,be BEL,"FW,MF",28-067,16,16,1315.0,14.6,7.0,2.0,9.0,7.0,0.0,0.0,1.0,0.0,4.4,4.4,2.1,6.5,40.0,67.0,118.0,0.48,0.14,0.62,0.48,0.62,0.3,0.14,0.45,0.3,0.45,Matches
Joël Veltman,nl NED,DF,31-025,18,14,1283.0,14.3,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.6,0.6,0.2,0.8,29.0,96.0,19.0,0.0,0.07,0.07,0.0,0.07,0.04,0.02,0.06,0.04,0.06,Matches
Pervis Estupiñán,ec ECU,DF,25-019,17,14,1171.0,13.0,0.0,2.0,2.0,0.0,0.0,0.0,3.0,0.0,0.1,0.1,2.0,2.1,42.0,74.0,86.0,0.0,0.15,0.15,0.0,0.15,0.01,0.15,0.16,0.01,0.16,Matches
Adam Webster,eng ENG,DF,28-036,15,13,1173.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.3,1.3,0.0,1.3,12.0,65.0,5.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.1,0.1,0.1,Matches
Danny Welbeck,eng ENG,FW,32-075,16,13,1142.0,12.7,1.0,2.0,3.0,1.0,0.0,0.0,0.0,0.0,4.9,4.9,2.5,7.4,15.0,21.0,76.0,0.08,0.16,0.24,0.08,0.24,0.38,0.2,0.58,0.38,0.58,Matches
Adam Lallana,eng ENG,"MF,FW",34-275,16,12,722.0,8.0,2.0,1.0,3.0,2.0,0.0,0.0,0.0,0.0,0.9,0.9,1.0,1.9,10.0,33.0,43.0,0.25,0.12,0.37,0.25,0.37,0.11,0.12,0.23,0.11,0.23,Matches
