Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,Unnamed: 23_level_0
Player,Nation,Pos,Age,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,Matches
Robert Sánchez,es ESP,GK,25-083,20,20,1800,20.0,27,1.35,69,44,68.1,10,4,6,6,30.0,6,5,1,0,16.7,Matches
Squad Total,,,27.4,20,20,1800,20.0,27,1.35,69,44,68.1,10,4,6,6,30.0,6,5,1,0,16.7,
Opponent Total,,,27.2,20,20,1800,20.0,38,1.9,107,73,67.3,6,4,10,4,20.0,3,3,0,0,0.0,
