Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Goals,Goals,Goals,Goals,Goals,Expected,Expected,Expected,Expected,Launched,Launched,Launched,Passes,Passes,Passes,Passes,Goal Kicks,Goal Kicks,Goal Kicks,Crosses,Crosses,Crosses,Sweeper,Sweeper,Sweeper,Unnamed: 30_level_0
Player,Nation,Pos,Age,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att,Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,Matches
Robert Sánchez,es ESP,GK,25-083,20.0,27,5,0,4,3,22.9,0.25,-1.1,-0.06,55,199,27.6,567,94,26.5,30.3,120,40.8,37.2,204,15,7.4,13,0.65,12.9,Matches
Squad Total,,,27.4,20.0,27,5,0,4,3,22.9,0.25,-1.1,-0.06,55,199,27.6,567,94,26.5,30.3,120,40.8,37.2,204,15,7.4,13,0.65,12.9,
Opponent Total,,,27.2,20.0,38,3,1,0,4,30.1,0.26,-3.9,-0.19,100,286,35.0,561,100,36.4,33.3,150,54.7,41.5,300,26,8.7,30,1.5,12.7,
