Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected,Unnamed: 22_level_0
Player,Nation,Pos,Age,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
Robert Sánchez,es ESP,GK,25-083,20.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Lewis Dunk,eng ENG,DF,31-080,20.0,0,9,1,11.1,0.45,0.05,0.0,0.0,10.7,0,0,0,0.8,0.8,0.09,-0.8,-0.8,Matches
Pascal Groß,de GER,"MF,DF",31-239,19.2,6,21,10,47.6,1.09,0.52,0.29,0.6,16.0,0,0,0,3.3,3.3,0.16,2.7,2.7,Matches
Solly March,eng ENG,"FW,DF",28-204,19.1,4,43,16,37.2,2.25,0.84,0.09,0.25,16.7,1,0,0,4.5,4.5,0.11,-0.5,-0.5,Matches
Moisés Caicedo,ec ECU,MF,21-099,18.2,1,14,5,35.7,0.77,0.27,0.07,0.2,23.7,0,0,0,1.0,1.0,0.07,0.0,0.0,Matches
Alexis Mac Allister,ar ARG,MF,24-047,16.2,5,28,10,35.7,1.73,0.62,0.07,0.2,27.6,5,3,3,3.8,1.5,0.05,1.2,0.5,Matches
Leandro Trossard,be BEL,"FW,MF",28-067,14.6,7,38,17,44.7,2.6,1.16,0.18,0.41,15.0,0,0,0,4.4,4.4,0.12,2.6,2.6,Matches
Joël Veltman,nl NED,DF,31-025,14.3,0,5,1,20.0,0.35,0.07,0.0,0.0,15.4,0,0,0,0.6,0.6,0.12,-0.6,-0.6,Matches
Pervis Estupiñán,ec ECU,DF,25-019,13.0,0,7,0,0.0,0.54,0.0,0.0,,23.9,0,0,0,0.1,0.1,0.02,-0.1,-0.1,Matches
Adam Webster,eng ENG,DF,28-036,13.0,0,13,1,7.7,1.0,0.08,0.0,0.0,11.7,0,0,0,1.3,1.3,0.1,-1.3,-1.3,Matches
Danny Welbeck,eng ENG,FW,32-075,12.7,1,32,12,37.5,2.52,0.95,0.03,0.08,12.9,0,0,0,4.9,4.9,0.15,-3.9,-3.9,Matches
Adam Lallana,eng ENG,"MF,FW",34-275,8.0,2,8,5,62.5,1.0,0.62,0.25,0.4,13.3,0,0,0,0.9,0.9,0.11,1.1,1.1,Matches
Kaoru Mitoma,jp JPN,"FW,DF",25-265,9.3,5,18,10,55.6,1.93,1.07,0.28,0.5,12.5,0,0,0,1.9,1.9,0.11,3.1,3.1,Matches
Levi Colwill,eng ENG,DF,19-348,5.1,0,1,0,0.0,0.19,0.0,0.0,,8.1,0,0,0,0.2,0.2,0.18,-0.2,-0.2,Matches
Tariq Lamptey,gh GHA,DF,22-132,4.4,0,3,0,0.0,0.69,0.0,0.0,,17.3,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches
Enock Mwepu,zm ZAM,"FW,MF",25-039,2.4,0,2,1,50.0,0.85,0.42,0.0,0.0,16.7,0,0,0,0.2,0.2,0.11,-0.2,-0.2,Matches
Evan Ferguson,ie IRL,FW,18-113,2.2,3,8,5,62.5,3.62,2.26,0.38,0.6,15.9,0,0,0,1.2,1.2,0.15,1.8,1.8,Matches
Billy Gilmour,sct SCO,MF,21-243,1.8,0,2,0,0.0,1.1,0.0,0.0,,17.1,0,0,0,0.2,0.2,0.11,-0.2,-0.2,Matches
Deniz Undav,de GER,"FW,MF",26-205,1.9,0,9,2,22.2,4.63,1.03,0.0,0.0,11.4,0,0,0,1.3,1.3,0.17,-1.3,-1.3,Matches
Jeremy Sarmiento,ec ECU,MF,20-238,1.8,0,5,2,40.0,2.73,1.09,0.0,0.0,20.5,0,0,0,0.3,0.3,0.07,-0.3,-0.3,Matches
Jan Paul van Hecke,nl NED,DF,22-246,0.9,0,2,0,0.0,2.25,0.0,0.0,,16.3,0,0,0,0.6,0.6,0.3,-0.6,-0.6,Matches
Julio César Enciso,py PAR,"FW,MF",19-017,1.5,0,8,6,75.0,5.5,4.12,0.0,0.0,24.4,0,0,0,0.5,0.5,0.07,-0.5,-0.5,Matches
Facundo Buonanotte,ar ARG,"MF,FW",18-048,0.2,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Andrew Moran,ie IRL,FW,19-117,0.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Squad Total,,,27.4,20.0,34,276,104,37.7,13.8,5.2,0.11,0.3,16.9,6,3,3,31.3,29.1,0.11,2.7,1.9,
Opponent Total,,,27.2,20.0,24,193,63,32.6,9.65,3.15,0.1,0.3,16.2,6,5,6,25.1,20.2,0.11,-1.1,-1.2,
