Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,Unnamed: 17_level_0,Unnamed: 18_level_0,Unnamed: 19_level_0,Unnamed: 20_level_0,Unnamed: 21_level_0
Player,Nation,Pos,Age,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
Robert Sánchez,es ESP,GK,25-083,20.0,1,0,1,0,0,0,0,,0,0,0,0,3,4,8,1,Matches
Lewis Dunk,eng ENG,DF,31-080,20.0,13,8,11,2,0,4,14,28.6,10,23,16,7,21,34,53,0,Matches
Pascal Groß,de GER,"MF,DF",31-239,19.2,32,17,14,14,4,13,29,44.8,16,19,5,14,9,41,7,0,Matches
Solly March,eng ENG,"FW,DF",28-204,19.1,27,14,11,7,9,3,16,18.8,13,24,3,21,18,45,21,0,Matches
Moisés Caicedo,ec ECU,MF,21-099,18.2,55,26,19,27,9,23,31,74.2,8,18,2,16,27,82,17,1,Matches
Alexis Mac Allister,ar ARG,MF,24-047,16.2,46,27,13,28,5,23,44,52.3,21,14,1,13,20,66,5,1,Matches
Leandro Trossard,be BEL,"FW,MF",28-067,14.6,11,6,8,1,2,2,8,25.0,6,17,0,17,6,17,1,0,Matches
Joël Veltman,nl NED,DF,31-025,14.3,39,22,29,9,1,24,33,72.7,9,21,7,14,13,52,38,0,Matches
Pervis Estupiñán,ec ECU,DF,25-019,13.0,25,16,14,6,5,17,24,70.8,7,15,5,10,20,45,19,0,Matches
Adam Webster,eng ENG,DF,28-036,13.0,10,7,6,3,1,5,8,62.5,3,16,8,8,13,23,37,2,Matches
Danny Welbeck,eng ENG,FW,32-075,12.7,9,5,0,4,5,4,6,66.7,2,10,1,9,3,12,11,0,Matches
Adam Lallana,eng ENG,"MF,FW",34-275,8.0,9,4,6,2,1,0,7,0.0,7,6,0,6,2,11,1,0,Matches
Kaoru Mitoma,jp JPN,"FW,DF",25-265,9.3,18,13,8,7,3,8,14,57.1,6,11,0,11,4,22,7,0,Matches
Levi Colwill,eng ENG,DF,19-348,5.1,1,1,0,1,0,0,1,0.0,1,2,1,1,6,7,14,0,Matches
Tariq Lamptey,gh GHA,DF,22-132,4.4,11,6,6,4,1,5,7,71.4,2,5,2,3,5,16,2,0,Matches
Enock Mwepu,zm ZAM,"FW,MF",25-039,2.4,10,5,1,6,3,3,4,75.0,1,3,1,2,1,11,1,0,Matches
Evan Ferguson,ie IRL,FW,18-113,2.2,0,0,0,0,0,0,2,0.0,2,2,0,2,1,1,0,0,Matches
Billy Gilmour,sct SCO,MF,21-243,1.8,1,0,0,1,0,1,7,14.3,6,1,0,1,1,2,3,0,Matches
Deniz Undav,de GER,"FW,MF",26-205,1.9,4,3,2,1,1,1,1,100.0,0,1,0,1,0,4,1,0,Matches
Jeremy Sarmiento,ec ECU,MF,20-238,1.8,5,3,4,1,0,2,4,50.0,2,0,0,0,1,6,0,0,Matches
Jan Paul van Hecke,nl NED,DF,22-246,0.9,2,1,1,1,0,1,1,100.0,0,0,0,0,4,6,2,0,Matches
Julio César Enciso,py PAR,"FW,MF",19-017,1.5,1,0,0,1,0,0,0,,0,1,0,1,0,1,0,0,Matches
Facundo Buonanotte,ar ARG,"MF,FW",18-048,0.2,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
Andrew Moran,ie IRL,FW,19-117,0.1,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0,Matches
Squad Total,,,27.4,20.0,330,184,154,126,50,139,261,53.3,122,210,52,158,178,508,248,5,
Opponent Total,,,27.2,20.0,316,187,176,101,39,133,259,51.4,126,261,78,183,212,528,419,14,
