Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Corner Kicks,Corner Kicks,Corner Kicks,Outcomes,Outcomes,Outcomes,Unnamed: 20_level_0
Player,Nation,Pos,Age,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,Matches
Robert Sánchez,es ESP,GK,25-083,20.0,692,535,152,32,0,3,0,0,0,0,0,0,516,5,3,Matches
Lewis Dunk,eng ENG,DF,31-080,20.0,1586,1524,60,45,1,14,1,3,0,0,0,0,1425,2,9,Matches
Pascal Groß,de GER,"MF,DF",31-239,19.2,1147,953,190,46,6,16,128,47,77,42,25,2,874,4,30,Matches
Solly March,eng ENG,"FW,DF",28-204,19.1,796,704,91,10,0,17,87,43,35,20,8,0,577,1,17,Matches
Moisés Caicedo,ec ECU,MF,21-099,18.2,1102,1096,6,3,7,6,9,3,0,0,0,0,968,0,18,Matches
Alexis Mac Allister,ar ARG,MF,24-047,16.2,954,927,26,16,3,6,15,3,7,5,2,0,842,1,23,Matches
Leandro Trossard,be BEL,"FW,MF",28-067,14.6,529,498,28,3,9,8,35,19,0,0,0,0,379,3,20,Matches
Joël Veltman,nl NED,DF,31-025,14.3,928,785,138,24,1,2,10,114,0,0,0,0,768,5,18,Matches
Pervis Estupiñán,ec ECU,DF,25-019,13.0,859,753,102,9,1,5,36,93,0,0,0,0,694,4,26,Matches
Adam Webster,eng ENG,DF,28-036,13.0,904,853,51,17,0,6,2,34,0,0,0,0,780,0,5,Matches
Danny Welbeck,eng ENG,FW,32-075,12.7,222,215,5,0,4,0,0,0,0,0,0,0,183,2,3,Matches
Adam Lallana,eng ENG,"MF,FW",34-275,8.0,317,304,11,2,0,0,3,2,1,0,0,0,262,2,5,Matches
Kaoru Mitoma,jp JPN,"FW,DF",25-265,9.3,402,389,11,0,1,2,19,10,1,0,0,0,319,2,14,Matches
Levi Colwill,eng ENG,DF,19-348,5.1,424,400,22,8,1,1,0,10,0,0,0,0,379,2,2,Matches
Tariq Lamptey,gh GHA,DF,22-132,4.4,254,219,35,4,1,0,28,31,0,0,0,0,200,0,5,Matches
Enock Mwepu,zm ZAM,"FW,MF",25-039,2.4,78,76,2,0,0,1,3,0,0,0,0,0,61,0,3,Matches
Evan Ferguson,ie IRL,FW,18-113,2.2,45,41,3,0,1,0,0,0,0,0,0,0,35,1,1,Matches
Billy Gilmour,sct SCO,MF,21-243,1.8,154,153,0,0,0,1,0,0,0,0,0,0,142,1,0,Matches
Deniz Undav,de GER,"FW,MF",26-205,1.9,44,44,0,0,0,0,0,0,0,0,0,0,40,0,1,Matches
Jeremy Sarmiento,ec ECU,MF,20-238,1.8,59,59,0,0,0,0,3,0,0,0,0,0,46,0,1,Matches
Jan Paul van Hecke,nl NED,DF,22-246,0.9,97,96,1,0,0,0,0,1,0,0,0,0,93,0,1,Matches
Julio César Enciso,py PAR,"FW,MF",19-017,1.5,29,28,1,0,0,0,1,0,0,0,0,0,19,0,0,Matches
Facundo Buonanotte,ar ARG,"MF,FW",18-048,0.2,8,7,1,0,0,0,0,1,0,0,0,0,7,0,0,Matches
Andrew Moran,ie IRL,FW,19-117,0.1,2,1,1,0,0,0,0,0,0,0,0,0,1,0,0,Matches
Squad Total,,,27.4,20.0,11632,10660,937,219,36,88,380,414,121,67,35,2,9610,35,205,
Opponent Total,,,27.2,20.0,8497,7571,902,236,18,51,252,367,78,27,40,2,6608,24,173,
