Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,Pts/MP,xG,xGA,xGD,xGD/90,Last 5,Attendance,Top Team Scorer,Goalkeeper,Notes
13,Nott'ham Forest,21,6,6,9,17,35,-18,24,1.14,23.4,31.3,-7.9,-0.37,D W W D W,29110,Brennan Johnson - 5,Dean Henderson,
14,Leicester City,21,6,3,12,32,37,-5,21,1.0,25.3,33.8,-8.5,-0.41,L L L D W,31646,James Maddison - 8,Danny Ward,
15,Wolves,21,5,5,11,15,30,-15,20,0.95,20.9,30.7,-9.8,-0.47,L D W L W,31616,"Rúben Neves, Daniel Podence - 5",José Sá,
16,Leeds United,21,4,7,10,28,36,-8,19,0.9,27.2,32.2,-5.0,-0.24,D L D L D,36441,Rodrigo - 10,Illan Meslier,
17,West Ham,21,5,4,12,18,26,-8,19,0.9,26.6,23.3,3.3,0.16,L D L W D,62449,Jarrod Bowen - 4,Łukasz Fabiański,
