Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,SCA,SCA,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,GCA,GCA,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,Unnamed: 21_level_0
Player,Nation,Pos,Age,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def,Matches
Max Kilman,eng ENG,DF,25-262,21.0,13,0.62,12,0,0,1,0,0,2,0.1,1,0,0,1,0,0,Matches
José Sá,pt POR,GK,30-023,21.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Rúben Neves,pt POR,MF,25-333,20.0,42,2.1,32,2,2,1,2,3,2,0.1,2,0,0,0,0,0,Matches
Nathan Collins,ie IRL,DF,21-285,16.4,8,0.49,6,0,1,0,1,0,0,0.0,0,0,0,0,0,0,Matches
Matheus Nunes,pt POR,MF,24-166,14.9,35,2.35,30,1,1,2,1,0,2,0.13,2,0,0,0,0,0,Matches
Daniel Podence,pt POR,"FW,MF",27-111,14.6,54,3.7,40,3,3,7,1,0,2,0.14,1,0,1,0,0,0,Matches
João Moutinho,pt POR,MF,36-154,15.0,49,3.26,37,11,0,1,0,0,3,0.2,3,0,0,0,0,0,Matches
Nélson Semedo,pt POR,DF,29-085,13.2,19,1.44,16,0,0,2,1,0,2,0.15,2,0,0,0,0,0,Matches
Jonny Castro,es ESP,DF,28-343,11.3,17,1.51,14,0,0,0,2,1,0,0.0,0,0,0,0,0,0,Matches
Hugo Bueno,es ESP,DF,20-144,9.1,19,2.08,15,3,0,1,0,0,1,0.11,1,0,0,0,0,0,Matches
Hwang Hee-chan,kr KOR,FW,27-014,7.7,17,2.21,15,0,1,0,1,0,1,0.13,1,0,0,0,0,0,Matches
Rayan Aït Nouri,fr FRA,DF,21-248,9.6,22,2.28,14,2,4,1,1,0,0,0.0,0,0,0,0,0,0,Matches
Gonçalo Guedes,pt POR,"FW,MF",26-072,7.9,27,3.44,15,3,1,2,5,1,1,0.13,1,0,0,0,0,0,Matches
Diego Costa,es ESP,FW,34-125,6.8,9,1.33,5,0,2,2,0,0,0,0.0,0,0,0,0,0,0,Matches
Pedro Neto,pt POR,"FW,MF",22-337,6.7,27,4.06,15,4,2,2,3,1,3,0.45,3,0,0,0,0,0,Matches
Adama Traoré,es ESP,"FW,MF",27-015,9.5,24,2.53,20,0,1,1,2,0,3,0.32,2,0,0,1,0,0,Matches
Boubacar Traoré,ml MLI,MF,21-173,4.3,6,1.41,6,0,0,0,0,0,2,0.47,2,0,0,0,0,0,Matches
Raúl Jiménez,mx MEX,FW,31-280,3.6,6,1.66,5,0,0,1,0,0,0,0.0,0,0,0,0,0,0,Matches
Toti Gomes,pt POR,DF,24-024,3.4,1,0.29,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Leander Dendoncker,be BEL,MF,27-300,2.4,4,1.68,3,0,0,0,0,1,0,0.0,0,0,0,0,0,0,Matches
Matheus Cunha,br BRA,FW,23-258,2.1,7,3.28,5,1,0,1,0,0,0,0.0,0,0,0,0,0,0,Matches
Morgan Gibbs-White,eng ENG,"FW,MF",23-013,2.0,4,2.0,2,1,1,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Mario Lemina,ga GAB,MF,29-161,1.8,2,1.08,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Joseph Hodge,ie IRL,MF,20-148,1.9,2,1.07,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Pablo Sarabia,es ESP,FW,30-274,1.2,5,4.33,1,2,0,2,0,0,0,0.0,0,0,0,0,0,0,Matches
Craig Dawson,eng ENG,DF,32-279,1.0,2,2.0,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Sasa Kalajdzic,at AUT,FW,25-217,0.5,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Chem Campbell,wls WAL,"FW,MF",20-041,0.8,2,2.43,1,0,1,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Dexter Lembikisa,jm JAM,DF,19-097,0.3,1,3.91,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Connor Ronan,ie IRL,MF,24-340,0.0,1,90.0,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Squad Total,,,26.8,21.0,425,20.24,318,33,20,27,20,7,24,1.14,21,0,1,2,0,0,
Opponent Total,,,27.1,21.0,494,23.52,367,34,22,32,26,13,48,2.29,37,2,2,3,2,2,
