Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Starts,Starts,Starts,Subs,Subs,Subs,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG),Unnamed: 26_level_0
Player,Nation,Pos,Age,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off,Matches
Max Kilman,eng ENG,DF,25-262,21,1890.0,90.0,100.0,21.0,21,90.0,21,0,,0,0.95,15.0,30.0,-15.0,-0.71,,20.9,30.7,-9.8,-0.47,,Matches
José Sá,pt POR,GK,30-023,21,1890.0,90.0,100.0,21.0,21,90.0,21,0,,0,0.95,15.0,30.0,-15.0,-0.71,,20.9,30.7,-9.8,-0.47,,Matches
Rúben Neves,pt POR,MF,25-333,20,1800.0,90.0,95.2,20.0,20,90.0,20,0,,0,1.0,15.0,27.0,-12.0,-0.6,2.4,19.8,28.8,-9.0,-0.45,0.32,Matches
Nathan Collins,ie IRL,DF,21-285,17,1472.0,87.0,77.9,16.4,17,87.0,16,0,,1,0.82,11.0,24.0,-13.0,-0.79,-0.36,15.7,24.1,-8.4,-0.51,-0.22,Matches
Matheus Nunes,pt POR,MF,24-166,18,1339.0,74.0,70.8,14.9,16,81.0,10,2,22.0,0,1.06,10.0,19.0,-9.0,-0.6,0.38,14.9,21.1,-6.3,-0.42,0.15,Matches
Daniel Podence,pt POR,"FW,MF",27-111,21,1312.0,62.0,69.4,14.6,16,77.0,8,5,16.0,0,0.95,10.0,23.0,-13.0,-0.89,-0.58,16.1,18.3,-2.2,-0.15,1.02,Matches
João Moutinho,pt POR,MF,36-154,19,1351.0,71.0,71.5,15.0,15,79.0,6,4,40.0,0,1.0,10.0,22.0,-12.0,-0.8,-0.3,15.6,20.3,-4.7,-0.31,0.55,Matches
Nélson Semedo,pt POR,DF,29-085,19,1189.0,63.0,62.9,13.2,14,80.0,9,5,15.0,1,0.89,12.0,18.0,-6.0,-0.45,0.7,11.6,22.3,-10.7,-0.81,-0.93,Matches
Jonny Castro,es ESP,DF,28-343,14,1013.0,72.0,53.6,11.3,11,85.0,8,3,26.0,5,0.86,4.0,16.0,-12.0,-1.07,-0.76,12.5,12.8,-0.3,-0.03,0.95,Matches
Hugo Bueno,es ESP,DF,20-144,11,821.0,75.0,43.4,9.1,10,82.0,5,1,1.0,6,1.0,7.0,17.0,-10.0,-1.1,-0.68,8.2,13.8,-5.6,-0.61,-0.26,Matches
Hwang Hee-chan,kr KOR,FW,27-014,17,690.0,41.0,36.5,7.7,9,64.0,1,8,15.0,2,1.06,8.0,9.0,-1.0,-0.13,0.92,7.2,8.6,-1.4,-0.18,0.45,Matches
Rayan Aït Nouri,fr FRA,DF,21-248,16,868.0,54.0,45.9,9.6,8,85.0,4,8,23.0,4,1.13,7.0,12.0,-5.0,-0.52,0.36,10.2,14.1,-3.8,-0.4,0.12,Matches
Gonçalo Guedes,pt POR,"FW,MF",26-072,13,707.0,54.0,37.4,7.9,8,71.0,1,5,27.0,4,0.77,4.0,12.0,-8.0,-1.02,-0.49,5.7,11.7,-6.0,-0.76,-0.47,Matches
Diego Costa,es ESP,FW,34-125,9,612.0,68.0,32.4,6.8,8,72.0,1,1,33.0,1,0.89,6.0,10.0,-4.0,-0.59,0.19,7.1,9.4,-2.3,-0.33,0.2,Matches
Pedro Neto,pt POR,"FW,MF",22-337,8,599.0,75.0,31.7,6.7,8,75.0,2,0,,0,0.75,3.0,6.0,-3.0,-0.45,0.39,6.4,6.4,0.0,0.0,0.68,Matches
Adama Traoré,es ESP,"FW,MF",27-015,18,855.0,48.0,45.2,9.5,7,74.0,2,11,31.0,1,1.06,5.0,16.0,-11.0,-1.16,-0.81,10.2,16.9,-6.7,-0.7,-0.43,Matches
Boubacar Traoré,ml MLI,MF,21-173,8,384.0,48.0,20.3,4.3,4,82.0,2,4,15.0,1,0.5,4.0,7.0,-3.0,-0.7,0.01,3.0,6.3,-3.3,-0.78,-0.39,Matches
Raúl Jiménez,mx MEX,FW,31-280,7,325.0,46.0,17.2,3.6,3,75.0,2,4,25.0,2,1.14,2.0,3.0,-1.0,-0.28,0.53,4.1,5.7,-1.5,-0.42,0.05,Matches
Toti Gomes,pt POR,DF,24-024,7,310.0,44.0,16.4,3.4,3,86.0,2,4,13.0,8,1.43,2.0,6.0,-4.0,-1.16,-0.53,3.5,7.9,-4.4,-1.27,-0.97,Matches
Leander Dendoncker,be BEL,MF,27-300,4,214.0,54.0,11.3,2.4,2,90.0,2,2,17.0,1,0.5,1.0,3.0,-2.0,-0.84,-0.14,2.4,3.6,-1.2,-0.49,-0.02,Matches
Matheus Cunha,br BRA,FW,23-258,4,192.0,48.0,10.2,2.1,2,61.0,0,2,35.0,0,1.75,3.0,3.0,0.0,0.0,0.8,2.4,5.1,-2.6,-1.23,-0.85,Matches
Morgan Gibbs-White,eng ENG,"FW,MF",23-013,2,180.0,90.0,9.5,2.0,2,90.0,2,0,,0,0.5,1.0,2.0,-1.0,-0.5,0.24,2.2,2.3,0.0,-0.02,0.5,Matches
Mario Lemina,ga GAB,MF,29-161,3,166.0,55.0,8.8,1.8,2,74.0,0,1,18.0,0,2.0,3.0,3.0,0.0,0.0,0.78,2.0,4.6,-2.5,-1.37,-1.0,Matches
