Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Corner Kicks,Corner Kicks,Corner Kicks,Outcomes,Outcomes,Outcomes,Unnamed: 20_level_0
Player,Nation,Pos,Age,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,Matches
Max Kilman,eng ENG,DF,25-262,21.0,1216,1194,17,17,0,13,0,0,0,0,0,0,1008,5,10,Matches
José Sá,pt POR,GK,30-023,21.0,722,515,203,41,0,1,0,0,0,0,0,0,523,4,1,Matches
Rúben Neves,pt POR,MF,25-333,20.0,1220,1145,72,60,3,16,20,3,3,2,1,0,1008,3,22,Matches
Nathan Collins,ie IRL,DF,21-285,16.4,914,894,18,15,0,8,0,3,0,0,0,0,812,2,3,Matches
Matheus Nunes,pt POR,MF,24-166,14.9,550,532,17,8,3,21,21,2,7,3,3,0,438,1,13,Matches
Daniel Podence,pt POR,"FW,MF",27-111,14.6,498,459,36,3,7,7,31,9,18,5,6,0,339,3,13,Matches
João Moutinho,pt POR,MF,36-154,15.0,815,725,86,40,4,6,38,3,19,7,8,0,667,4,12,Matches
Nélson Semedo,pt POR,DF,29-085,13.2,602,500,101,1,3,1,20,100,0,0,0,0,482,1,13,Matches
Jonny Castro,es ESP,DF,28-343,11.3,718,605,111,10,1,1,18,101,0,0,0,0,607,2,19,Matches
Hugo Bueno,es ESP,DF,20-144,9.1,403,317,84,4,0,0,35,72,8,2,6,0,324,2,12,Matches
Hwang Hee-chan,kr KOR,FW,27-014,7.7,167,160,6,0,0,0,7,3,0,0,0,0,127,1,4,Matches
Rayan Aït Nouri,fr FRA,DF,21-248,9.6,461,386,73,4,0,1,20,66,3,1,2,0,375,2,14,Matches
Gonçalo Guedes,pt POR,"FW,MF",26-072,7.9,201,182,19,2,0,4,27,2,14,3,8,2,138,0,8,Matches
Diego Costa,es ESP,FW,34-125,6.8,85,82,3,0,0,0,4,0,0,0,0,0,63,0,7,Matches
Pedro Neto,pt POR,"FW,MF",22-337,6.7,240,211,29,8,0,3,45,1,20,9,6,0,177,0,7,Matches
Adama Traoré,es ESP,"FW,MF",27-015,9.5,279,278,0,0,2,0,45,0,0,0,0,0,185,1,12,Matches
Boubacar Traoré,ml MLI,MF,21-173,4.3,125,122,0,0,0,0,1,0,0,0,0,0,97,3,1,Matches
Raúl Jiménez,mx MEX,FW,31-280,3.6,63,60,3,0,0,0,1,1,0,0,0,0,44,0,2,Matches
Toti Gomes,pt POR,DF,24-024,3.4,173,169,4,2,0,2,1,2,0,0,0,0,147,0,1,Matches
Leander Dendoncker,be BEL,MF,27-300,2.4,99,96,3,3,0,2,1,0,0,0,0,0,86,0,5,Matches
Matheus Cunha,br BRA,FW,23-258,2.1,51,44,7,1,0,0,2,0,0,0,0,0,37,0,2,Matches
Morgan Gibbs-White,eng ENG,"FW,MF",23-013,2.0,95,88,7,2,0,1,8,1,4,0,3,0,75,0,2,Matches
Mario Lemina,ga GAB,MF,29-161,1.8,72,71,1,1,0,1,1,0,0,0,0,0,62,0,1,Matches
Joseph Hodge,ie IRL,MF,20-148,1.9,87,83,2,0,0,0,1,2,0,0,0,0,69,2,3,Matches
Pablo Sarabia,es ESP,FW,30-274,1.2,34,28,6,0,0,0,6,0,6,3,1,0,21,0,1,Matches
Craig Dawson,eng ENG,DF,32-279,1.0,46,45,1,1,0,0,0,0,0,0,0,0,41,0,0,Matches
Sasa Kalajdzic,at AUT,FW,25-217,0.5,4,4,0,0,0,0,0,0,0,0,0,0,2,0,1,Matches
Chem Campbell,wls WAL,"FW,MF",20-041,0.8,32,31,1,0,0,0,4,0,1,1,0,0,23,0,1,Matches
Dexter Lembikisa,jm JAM,DF,19-097,0.3,13,12,1,0,0,0,1,1,0,0,0,0,10,0,2,Matches
Connor Ronan,ie IRL,MF,24-340,0.0,4,3,1,1,0,0,1,0,0,0,0,0,3,0,0,Matches
Squad Total,,,26.8,21.0,9989,9041,912,224,23,88,359,372,103,36,44,2,7990,36,192,
Opponent Total,,,27.1,21.0,10608,9665,920,252,32,94,419,387,106,52,36,4,8581,23,193,
