Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,Unnamed: 17_level_0,Unnamed: 18_level_0,Unnamed: 19_level_0,Unnamed: 20_level_0,Unnamed: 21_level_0
Player,Nation,Pos,Age,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
Max Kilman,eng ENG,DF,25-262,21.0,24,13,18,5,1,11,18,61.1,7,42,25,17,15,39,96,0,Matches
José Sá,pt POR,GK,30-023,21.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,7,2,Matches
Rúben Neves,pt POR,MF,25-333,20.0,50,24,22,18,10,19,41,46.3,22,30,17,13,29,79,54,1,Matches
Nathan Collins,ie IRL,DF,21-285,16.4,21,11,16,5,0,12,20,60.0,8,23,18,5,20,41,71,0,Matches
Matheus Nunes,pt POR,MF,24-166,14.9,32,22,14,11,7,11,21,52.4,10,15,1,14,8,40,17,0,Matches
Daniel Podence,pt POR,"FW,MF",27-111,14.6,22,14,11,7,4,5,17,29.4,12,13,0,13,4,26,6,0,Matches
João Moutinho,pt POR,MF,36-154,15.0,38,20,20,13,5,14,37,37.8,23,18,4,14,14,52,12,0,Matches
Nélson Semedo,pt POR,DF,29-085,13.2,39,25,25,13,1,21,28,75.0,7,21,9,12,15,54,43,1,Matches
Jonny Castro,es ESP,DF,28-343,11.3,27,10,18,8,1,14,27,51.9,13,20,3,17,13,40,21,1,Matches
Hugo Bueno,es ESP,DF,20-144,9.1,25,13,21,2,2,13,22,59.1,9,8,1,7,7,32,27,0,Matches
Hwang Hee-chan,kr KOR,FW,27-014,7.7,10,6,4,4,2,5,13,38.5,8,12,0,12,1,11,3,0,Matches
Rayan Aït Nouri,fr FRA,DF,21-248,9.6,26,15,21,4,1,8,11,72.7,3,2,0,2,7,33,23,0,Matches
Gonçalo Guedes,pt POR,"FW,MF",26-072,7.9,8,6,4,3,1,5,8,62.5,3,4,0,4,1,9,2,0,Matches
Diego Costa,es ESP,FW,34-125,6.8,2,0,2,0,0,1,1,100.0,0,4,1,3,2,4,5,0,Matches
Pedro Neto,pt POR,"FW,MF",22-337,6.7,8,6,3,2,3,5,11,45.5,6,2,0,2,3,11,1,0,Matches
Adama Traoré,es ESP,"FW,MF",27-015,9.5,9,4,3,3,3,2,4,50.0,2,6,1,5,1,10,6,0,Matches
Boubacar Traoré,ml MLI,MF,21-173,4.3,10,4,4,3,3,2,6,33.3,4,4,2,2,7,17,1,0,Matches
Raúl Jiménez,mx MEX,FW,31-280,3.6,2,2,1,1,0,0,1,0.0,1,7,0,7,0,2,4,0,Matches
Toti Gomes,pt POR,DF,24-024,3.4,4,2,4,0,0,2,2,100.0,0,6,5,1,2,6,24,0,Matches
Leander Dendoncker,be BEL,MF,27-300,2.4,4,2,0,3,1,2,3,66.7,1,2,0,2,9,13,4,0,Matches
Matheus Cunha,br BRA,FW,23-258,2.1,1,0,0,0,1,1,1,100.0,0,6,1,5,2,3,4,0,Matches
Morgan Gibbs-White,eng ENG,"FW,MF",23-013,2.0,3,1,3,0,0,2,3,66.7,1,2,0,2,1,4,3,0,Matches
Mario Lemina,ga GAB,MF,29-161,1.8,3,2,2,1,0,1,1,100.0,0,6,1,5,0,3,7,0,Matches
Joseph Hodge,ie IRL,MF,20-148,1.9,5,2,1,3,1,3,4,75.0,1,5,0,5,0,5,2,1,Matches
Pablo Sarabia,es ESP,FW,30-274,1.2,1,0,0,0,1,1,3,33.3,2,0,0,0,0,1,0,0,Matches
Craig Dawson,eng ENG,DF,32-279,1.0,1,0,1,0,0,0,1,0.0,1,2,2,0,0,1,7,1,Matches
Sasa Kalajdzic,at AUT,FW,25-217,0.5,0,0,0,0,0,0,0,,0,0,0,0,1,1,0,0,Matches
Chem Campbell,wls WAL,"FW,MF",20-041,0.8,2,1,1,1,0,0,1,0.0,1,2,0,2,1,3,0,0,Matches
Dexter Lembikisa,jm JAM,DF,19-097,0.3,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
Connor Ronan,ie IRL,MF,24-340,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
Squad Total,,,26.8,21.0,377,205,219,110,48,160,305,52.5,145,262,91,171,163,540,450,7,
Opponent Total,,,27.1,21.0,362,201,170,121,71,182,339,53.7,157,240,70,170,180,542,385,6,
