Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 33_level_0
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Max Kilman,eng ENG,DF,25-262,21,21,1890.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.8,0.8,0.0,0.9,17.0,76.0,1.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.04,0.04,0.04,Matches
José Sá,pt POR,GK,30-023,21,21,1890.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Rúben Neves,pt POR,MF,25-333,20,20,1800.0,20.0,5.0,0.0,5.0,3.0,2.0,2.0,7.0,0.0,3.5,1.9,0.7,2.6,17.0,120.0,7.0,0.25,0.0,0.25,0.15,0.15,0.17,0.03,0.21,0.1,0.13,Matches
Nathan Collins,ie IRL,DF,21-285,17,17,1472.0,16.4,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.1,0.1,9.0,52.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,Matches
Matheus Nunes,pt POR,MF,24-166,18,16,1339.0,14.9,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,2.0,1.6,3.6,37.0,48.0,79.0,0.0,0.07,0.07,0.0,0.07,0.13,0.11,0.24,0.13,0.24,Matches
Daniel Podence,pt POR,"FW,MF",27-111,21,16,1312.0,14.6,5.0,0.0,5.0,5.0,0.0,0.0,4.0,0.0,3.1,3.1,1.9,5.0,31.0,75.0,110.0,0.34,0.0,0.34,0.34,0.34,0.21,0.13,0.34,0.21,0.34,Matches
João Moutinho,pt POR,MF,36-154,19,15,1351.0,15.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,0.9,0.9,2.1,3.1,13.0,110.0,20.0,0.0,0.13,0.13,0.0,0.13,0.06,0.14,0.2,0.06,0.2,Matches
Nélson Semedo,pt POR,DF,29-085,19,14,1189.0,13.2,0.0,1.0,1.0,0.0,0.0,0.0,4.0,1.0,0.1,0.1,0.4,0.4,28.0,45.0,62.0,0.0,0.08,0.08,0.0,0.08,0.01,0.03,0.03,0.01,0.03,Matches
Jonny Castro,es ESP,DF,28-343,14,11,1013.0,11.3,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.3,0.3,0.4,0.7,22.0,61.0,37.0,0.0,0.0,0.0,0.0,0.0,0.02,0.04,0.06,0.02,0.06,Matches
