Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,Unnamed: 23_level_0
Player,Nation,Pos,Age,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,Matches
José Sá,pt POR,GK,30-023,21,21,1890,21.0,30,1.43,88,57,67.0,5,5,11,6,28.6,3,1,2,0,66.7,Matches
Squad Total,,,26.8,21,21,1890,21.0,30,1.43,88,57,67.0,5,5,11,6,28.6,3,1,2,0,66.7,
Opponent Total,,,27.1,21,21,1890,21.0,15,0.71,68,54,80.9,11,5,5,10,47.6,2,2,0,0,0.0,
