Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected,Unnamed: 22_level_0
Player,Nation,Pos,Age,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
Max Kilman,eng ENG,DF,25-262,21.0,0,8,0,0.0,0.38,0.0,0.0,,8.8,0,0,0,0.8,0.8,0.1,-0.8,-0.8,Matches
José Sá,pt POR,GK,30-023,21.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Rúben Neves,pt POR,MF,25-333,20.0,5,37,8,21.6,1.85,0.4,0.08,0.38,27.2,8,2,2,3.5,1.9,0.05,1.5,1.1,Matches
Nathan Collins,ie IRL,DF,21-285,16.4,0,1,0,0.0,0.06,0.0,0.0,,13.1,0,0,0,0.0,0.0,0.03,0.0,0.0,Matches
Matheus Nunes,pt POR,MF,24-166,14.9,0,22,6,27.3,1.48,0.4,0.0,0.0,18.2,0,0,0,2.0,2.0,0.09,-2.0,-2.0,Matches
Daniel Podence,pt POR,"FW,MF",27-111,14.6,5,33,13,39.4,2.26,0.89,0.15,0.38,16.7,0,0,0,3.1,3.1,0.09,1.9,1.9,Matches
João Moutinho,pt POR,MF,36-154,15.0,0,12,1,8.3,0.8,0.07,0.0,0.0,20.7,3,0,0,0.9,0.9,0.08,-0.9,-0.9,Matches
Nélson Semedo,pt POR,DF,29-085,13.2,0,2,0,0.0,0.15,0.0,0.0,,22.0,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
Jonny Castro,es ESP,DF,28-343,11.3,0,8,1,12.5,0.71,0.09,0.0,0.0,22.1,0,0,0,0.3,0.3,0.03,-0.3,-0.3,Matches
