Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,SCA,SCA,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,GCA,GCA,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,Unnamed: 21_level_0
Player,Nation,Pos,Age,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def,Matches
Ezri Konsa,eng ENG,DF,25-109,19.9,7,0.35,7,0,0,0,0,0,1,0.05,1,0,0,0,0,0,Matches
Tyrone Mings,eng ENG,DF,29-333,19.0,15,0.79,13,0,0,0,2,0,3,0.16,2,0,0,0,1,0,Matches
Emiliano Martínez,ar ARG,GK,30-160,18.4,3,0.16,2,1,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Ollie Watkins,eng ENG,FW,27-041,18.1,45,2.49,31,0,3,8,3,0,9,0.5,5,0,1,3,0,0,Matches
Leon Bailey,jm JAM,"FW,MF",25-184,14.6,40,2.73,24,2,7,6,1,0,4,0.27,2,0,0,2,0,0,Matches
Douglas Luiz,br BRA,MF,24-276,15.9,51,3.2,34,12,2,1,1,1,5,0.31,3,1,0,0,0,1,Matches
Jacob Ramsey,eng ENG,MF,21-257,13.7,38,2.76,31,0,1,1,4,1,3,0.22,2,0,0,0,1,0,Matches
John McGinn,sct SCO,MF,28-114,13.6,33,2.43,24,3,1,3,1,1,5,0.37,4,0,0,0,1,0,Matches
Boubacar Kamara,fr FRA,MF,23-078,13.3,19,1.43,15,0,1,0,3,0,3,0.23,1,0,1,0,1,0,Matches
Lucas Digne,fr FRA,DF,29-204,12.3,20,1.62,16,3,0,0,1,0,0,0.0,0,0,0,0,0,0,Matches
Emi Buendía,ar ARG,"MF,FW",26-046,13.6,46,3.39,36,2,2,1,4,1,5,0.37,4,0,0,1,0,0,Matches
Ashley Young,eng ENG,DF,37-215,13.2,30,2.27,26,2,2,0,0,0,1,0.08,1,0,0,0,0,0,Matches
Matty Cash,pl POL,DF,25-186,13.2,24,1.82,23,0,1,0,0,0,1,0.08,1,0,0,0,0,0,Matches
Danny Ings,eng ENG,FW,30-201,9.2,16,1.75,12,0,2,2,0,0,1,0.11,0,0,1,0,0,0,Matches
Philippe Coutinho,br BRA,"MF,FW",30-242,7.9,23,2.91,18,1,3,1,0,0,0,0.0,0,0,0,0,0,0,Matches
Leander Dendoncker,be BEL,MF,27-300,3.8,7,1.84,5,0,0,1,0,1,0,0.0,0,0,0,0,0,0,Matches
Robin Olsen,se SWE,GK,33-032,2.6,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Diego Carlos,br BRA,DF,29-331,2.0,2,1.01,1,0,0,1,0,0,0,0.0,0,0,0,0,0,0,Matches
Álex Moreno,es ESP,DF,29-246,2.4,5,2.08,5,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Calum Chambers,eng ENG,"DF,MF",28-020,1.2,1,0.82,0,0,0,0,0,1,0,0.0,0,0,0,0,0,0,Matches
Jan Bednarek,pl POL,DF,26-303,1.1,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Ludwig Augustinsson,se SWE,DF,28-294,0.9,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Cameron Archer,eng ENG,"FW,MF",21-203,0.5,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Morgan Sanson,fr FRA,MF,28-175,0.1,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Jhon Durán,co COL,FW,19-058,0.1,1,10.0,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Squad Total,,,27.7,21.0,426,20.29,324,26,25,25,20,6,41,1.95,26,1,3,6,4,1,
Opponent Total,,,27.0,21.0,413,19.67,292,45,19,31,20,6,49,2.33,34,3,3,5,2,2,
