Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Receiving,Receiving,Unnamed: 27_level_0
Player,Nation,Pos,Age,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Matches
Ezri Konsa,eng ENG,DF,25-109,19.9,1191,169,669,487,41,9,1191,8,2,25.0,2,25.0,731,3015,1660,5,4,0,8,1,831,8,Matches
Tyrone Mings,eng ENG,DF,29-333,19.0,1123,180,623,466,36,11,1123,5,1,20.0,2,40.0,679,3608,1922,9,6,1,5,4,737,6,Matches
Emiliano Martínez,ar ARG,GK,30-160,18.4,698,575,689,9,0,0,698,0,0,,0,,380,1979,1192,0,0,0,2,0,326,0,Matches
Ollie Watkins,eng ENG,FW,27-041,18.1,531,18,47,220,272,87,531,32,8,25.0,17,53.1,295,1510,666,26,19,14,53,31,396,100,Matches
Leon Bailey,jm JAM,"FW,MF",25-184,14.6,562,8,58,197,320,56,562,73,27,37.0,40,54.8,354,2772,1117,54,24,25,34,39,389,122,Matches
Douglas Luiz,br BRA,MF,24-276,15.9,1097,30,261,631,219,7,1096,22,9,40.9,8,36.4,583,2994,1353,24,18,2,16,16,671,16,Matches
Jacob Ramsey,eng ENG,MF,21-257,13.7,679,26,119,361,208,31,679,20,6,30.0,7,35.0,392,2345,1135,40,27,8,36,17,443,58,Matches
John McGinn,sct SCO,MF,28-114,13.6,682,17,112,394,181,16,682,22,12,54.5,6,27.3,384,1541,690,9,13,1,28,17,438,29,Matches
Boubacar Kamara,fr FRA,MF,23-078,13.3,852,46,246,509,105,6,852,20,8,40.0,8,40.0,463,1765,833,11,7,0,11,9,529,6,Matches
Lucas Digne,fr FRA,DF,29-204,12.3,835,50,276,307,256,20,835,12,0,0.0,8,66.7,424,1737,933,22,7,1,15,10,481,70,Matches
Emi Buendía,ar ARG,"MF,FW",26-046,13.6,741,15,109,347,291,47,741,27,10,37.0,13,48.1,454,2119,1020,29,23,14,31,26,527,76,Matches
Ashley Young,eng ENG,DF,37-215,13.2,871,48,308,418,158,4,871,11,5,45.5,5,45.5,416,1723,821,16,14,3,8,3,457,28,Matches
Matty Cash,pl POL,DF,25-186,13.2,807,40,224,373,216,9,807,16,8,50.0,3,18.8,408,2115,1287,34,25,3,16,4,456,49,Matches
Danny Ings,eng ENG,FW,30-201,9.2,267,12,26,106,139,49,265,16,10,62.5,6,37.5,163,718,260,15,6,9,20,17,186,46,Matches
Philippe Coutinho,br BRA,"MF,FW",30-242,7.9,458,2,26,234,204,22,458,30,12,40.0,14,46.7,288,1644,700,17,26,4,21,14,343,64,Matches
Leander Dendoncker,be BEL,MF,27-300,3.8,192,11,54,109,29,4,192,4,2,50.0,2,50.0,84,380,173,1,4,0,5,1,103,1,Matches
Robin Olsen,se SWE,GK,33-032,2.6,120,101,118,2,0,0,120,0,0,,0,,71,365,186,0,0,0,1,0,48,0,Matches
Diego Carlos,br BRA,DF,29-331,2.0,140,8,49,85,9,4,140,0,0,,0,,92,284,150,0,2,0,2,0,100,0,Matches
Álex Moreno,es ESP,DF,29-246,2.4,198,7,49,87,63,9,198,9,2,22.2,5,55.6,107,477,207,5,4,2,7,4,126,27,Matches
Calum Chambers,eng ENG,"DF,MF",28-020,1.2,94,11,52,37,7,0,94,0,0,,0,,67,345,238,2,0,0,1,0,63,0,Matches
Jan Bednarek,pl POL,DF,26-303,1.1,79,9,39,40,1,0,79,0,0,,0,,47,291,177,1,0,0,0,0,53,0,Matches
Ludwig Augustinsson,se SWE,DF,28-294,0.9,51,3,19,15,17,2,51,1,0,0.0,1,100.0,29,180,27,0,2,0,0,0,21,3,Matches
Cameron Archer,eng ENG,"FW,MF",21-203,0.5,15,0,1,8,7,3,15,1,1,100.0,0,0.0,15,114,72,3,1,1,2,3,13,3,Matches
Morgan Sanson,fr FRA,MF,28-175,0.1,9,1,1,4,4,0,9,0,0,,0,,5,11,9,0,0,0,1,0,5,0,Matches
Jhon Durán,co COL,FW,19-058,0.1,6,0,0,5,2,1,6,1,1,100.0,0,0.0,4,29,25,1,1,0,1,0,4,3,Matches
Squad Total,,,27.7,21.0,12298,1387,4175,5451,2785,397,12295,330,124,37.6,147,44.5,6935,34061,16853,324,233,88,324,216,7746,715,
Opponent Total,,,27.0,21.0,12642,1239,4244,5658,2850,455,12639,353,138,39.1,173,49.0,6884,35270,17917,332,249,84,296,211,8062,705,
