Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 33_level_0
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Ezri Konsa,eng ENG,DF,25-109,21,20,1792.0,19.9,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.6,0.6,0.5,1.0,5.0,25.0,8.0,0.0,0.0,0.0,0.0,0.0,0.03,0.02,0.05,0.03,0.05,Matches
Tyrone Mings,eng ENG,DF,29-333,19,19,1710.0,19.0,0.0,1.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.6,0.6,9.0,57.0,6.0,0.0,0.05,0.05,0.0,0.05,0.0,0.03,0.03,0.0,0.03,Matches
Emiliano Martínez,ar ARG,GK,30-160,19,19,1654.0,18.4,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.3,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.01,Matches
Ollie Watkins,eng ENG,FW,27-041,20,19,1628.0,18.1,5.0,4.0,9.0,5.0,0.0,0.0,1.0,0.0,6.6,6.6,2.2,8.8,26.0,25.0,100.0,0.28,0.22,0.5,0.28,0.5,0.36,0.12,0.48,0.36,0.48,Matches
Leon Bailey,jm JAM,"FW,MF",25-184,20,17,1317.0,14.6,4.0,2.0,6.0,4.0,0.0,0.0,4.0,0.0,4.3,4.3,2.3,6.7,54.0,20.0,122.0,0.27,0.14,0.41,0.27,0.41,0.3,0.16,0.46,0.3,0.46,Matches
Douglas Luiz,br BRA,MF,24-276,20,16,1434.0,15.9,2.0,4.0,6.0,2.0,0.0,0.0,2.0,1.0,0.9,0.9,2.5,3.4,24.0,63.0,16.0,0.13,0.25,0.38,0.13,0.38,0.06,0.16,0.21,0.06,0.21,Matches
Jacob Ramsey,eng ENG,MF,21-257,18,15,1236.0,13.7,2.0,2.0,4.0,2.0,0.0,0.0,4.0,0.0,1.3,1.3,1.6,2.9,40.0,53.0,58.0,0.15,0.15,0.29,0.15,0.29,0.1,0.11,0.21,0.1,0.21,Matches
John McGinn,sct SCO,MF,28-114,17,14,1223.0,13.6,0.0,1.0,1.0,0.0,0.0,0.0,4.0,0.0,1.2,1.2,1.3,2.5,9.0,60.0,29.0,0.0,0.07,0.07,0.0,0.07,0.09,0.1,0.19,0.09,0.19,Matches
Boubacar Kamara,fr FRA,MF,23-078,15,14,1195.0,13.3,0.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,0.2,0.2,0.3,0.5,11.0,68.0,6.0,0.0,0.08,0.08,0.0,0.08,0.01,0.02,0.04,0.01,0.04,Matches
Lucas Digne,fr FRA,DF,29-204,15,14,1111.0,12.3,1.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.2,0.2,1.2,1.5,22.0,43.0,70.0,0.08,0.0,0.08,0.08,0.08,0.02,0.1,0.12,0.02,0.12,Matches
Emi Buendía,ar ARG,"MF,FW",26-046,21,13,1220.0,13.6,3.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,3.6,3.6,2.3,5.9,29.0,83.0,76.0,0.22,0.0,0.22,0.22,0.22,0.26,0.17,0.44,0.26,0.44,Matches
Ashley Young,eng ENG,DF,37-215,17,13,1192.0,13.2,1.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,0.2,0.2,0.8,1.0,16.0,67.0,28.0,0.08,0.0,0.08,0.08,0.08,0.02,0.06,0.07,0.02,0.07,Matches
Matty Cash,pl POL,DF,25-186,17,13,1185.0,13.2,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.2,0.2,0.7,0.9,34.0,64.0,49.0,0.0,0.0,0.0,0.0,0.0,0.02,0.05,0.07,0.02,0.07,Matches
Danny Ings,eng ENG,FW,30-201,18,8,824.0,9.2,6.0,0.0,6.0,4.0,2.0,2.0,3.0,0.0,5.3,3.8,1.2,5.0,15.0,12.0,46.0,0.66,0.0,0.66,0.44,0.44,0.59,0.13,0.71,0.41,0.54,Matches
Philippe Coutinho,br BRA,"MF,FW",30-242,18,6,712.0,7.9,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.1,1.1,0.5,1.6,17.0,45.0,64.0,0.0,0.0,0.0,0.0,0.0,0.14,0.06,0.2,0.14,0.2,Matches
Leander Dendoncker,be BEL,MF,27-300,12,3,341.0,3.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,1.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,0.01,0.12,0.13,0.01,0.13,Matches
Robin Olsen,se SWE,GK,33-032,3,2,236.0,2.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Diego Carlos,br BRA,DF,29-331,2,2,179.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.0,0.4,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18,0.0,0.18,0.18,0.18,Matches
Álex Moreno,es ESP,DF,29-246,3,1,216.0,2.4,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.3,0.3,0.3,0.6,5.0,6.0,27.0,0.0,0.0,0.0,0.0,0.0,0.12,0.12,0.24,0.12,0.24,Matches
Calum Chambers,eng ENG,"DF,MF",28-020,4,1,110.0,1.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.03,0.03,0.03,Matches
Jan Bednarek,pl POL,DF,26-303,3,1,100.0,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Ludwig Augustinsson,se SWE,DF,28-294,3,1,77.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1,0.1,0.0,0.1,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.1,0.1,0.1,Matches
