Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,Unnamed: 19_level_0,Unnamed: 20_level_0,Unnamed: 21_level_0,Unnamed: 22_level_0,Unnamed: 23_level_0,Unnamed: 24_level_0,Unnamed: 25_level_0,Unnamed: 26_level_0,Unnamed: 27_level_0,Unnamed: 28_level_0
Player,Nation,Pos,Age,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches
Ezri Konsa,eng ENG,DF,25-109,19.9,881,1023,86.1,16183,5516,324,355,91.3,480,520,92.3,69,124,55.6,0,0.5,0.4,-0.5,4,38,4,2,25,Matches
Tyrone Mings,eng ENG,DF,29-333,19.0,797,949,84.0,15791,6234,241,264,91.3,459,495,92.7,88,170,51.8,1,0.6,0.7,0.4,3,58,3,0,57,Matches
Emiliano Martínez,ar ARG,GK,30-160,18.4,482,649,74.3,12794,8507,89,89,100.0,261,264,98.9,131,290,45.2,0,0.3,0.2,-0.3,2,13,0,0,0,Matches
Ollie Watkins,eng ENG,FW,27-041,18.1,234,332,70.5,2888,539,155,203,76.4,53,73,72.6,8,11,72.7,4,2.2,1.8,1.8,16,21,8,1,25,Matches
Leon Bailey,jm JAM,"FW,MF",25-184,14.6,234,376,62.2,3780,935,127,167,76.0,68,104,65.4,26,58,44.8,2,2.3,2.6,-0.3,18,13,13,10,20,Matches
Douglas Luiz,br BRA,MF,24-276,15.9,774,937,82.6,13389,3316,333,373,89.3,321,369,87.0,82,141,58.2,4,2.5,1.6,1.5,26,52,11,3,63,Matches
Jacob Ramsey,eng ENG,MF,21-257,13.7,415,502,82.7,5820,1436,249,285,87.4,126,148,85.1,21,29,72.4,2,1.6,0.7,0.4,17,45,11,0,53,Matches
John McGinn,sct SCO,MF,28-114,13.6,397,527,75.3,7212,2636,190,221,86.0,144,179,80.4,52,89,58.4,1,1.3,1.9,-0.3,8,62,11,4,60,Matches
Boubacar Kamara,fr FRA,MF,23-078,13.3,603,717,84.1,9971,2945,296,333,88.9,227,250,90.8,55,75,73.3,1,0.3,0.3,0.7,5,50,4,0,68,Matches
Lucas Digne,fr FRA,DF,29-204,12.3,535,705,75.9,8460,3195,302,335,90.1,185,251,73.7,39,78,50.0,0,1.2,1.0,-1.2,13,27,18,10,43,Matches
Emi Buendía,ar ARG,"MF,FW",26-046,13.6,450,574,78.4,7215,1914,232,275,84.4,150,189,79.4,44,56,78.6,0,2.3,1.7,-2.3,21,55,22,0,83,Matches
Ashley Young,eng ENG,DF,37-215,13.2,549,738,74.4,9680,4041,262,294,89.1,230,289,79.6,49,115,42.6,0,0.8,0.6,-0.8,10,44,13,4,67,Matches
Matty Cash,pl POL,DF,25-186,13.2,517,678,76.3,9054,3180,239,268,89.2,232,285,81.4,38,95,40.0,0,0.7,0.9,-0.7,7,46,14,8,64,Matches
Danny Ings,eng ENG,FW,30-201,9.2,114,162,70.4,1371,289,76,97,78.4,27,34,79.4,3,12,25.0,0,1.2,0.6,-1.2,9,7,4,0,12,Matches
Philippe Coutinho,br BRA,"MF,FW",30-242,7.9,270,361,74.8,3799,873,168,196,85.7,79,107,73.8,15,34,44.1,0,0.5,0.7,-0.5,7,28,7,2,45,Matches
Leander Dendoncker,be BEL,MF,27-300,3.8,129,148,87.2,1999,393,66,71,93.0,51,57,89.5,6,10,60.0,0,0.5,0.1,-0.5,5,9,0,0,10,Matches
Robin Olsen,se SWE,GK,33-032,2.6,65,111,58.6,1755,1256,14,15,93.3,28,28,100.0,23,68,33.8,0,0.0,0.0,0.0,0,2,0,0,0,Matches
Diego Carlos,br BRA,DF,29-331,2.0,101,128,78.9,2087,802,30,36,83.3,57,66,86.4,14,24,58.3,0,0.0,0.0,0.0,0,8,0,0,10,Matches
Álex Moreno,es ESP,DF,29-246,2.4,116,166,69.9,1523,517,67,82,81.7,39,54,72.2,2,9,22.2,0,0.3,0.2,-0.3,3,3,3,2,6,Matches
Calum Chambers,eng ENG,"DF,MF",28-020,1.2,69,83,83.1,1259,543,31,34,91.2,33,37,89.2,5,9,55.6,0,0.0,0.0,0.0,0,3,0,0,5,Matches
Jan Bednarek,pl POL,DF,26-303,1.1,60,66,90.9,1249,418,16,17,94.1,33,35,94.3,10,12,83.3,0,0.0,0.0,0.0,0,4,0,0,5,Matches
Ludwig Augustinsson,se SWE,DF,28-294,0.9,26,43,60.5,421,176,13,16,81.3,10,16,62.5,2,8,25.0,0,0.0,0.0,0.0,0,0,0,0,0,Matches
Cameron Archer,eng ENG,"FW,MF",21-203,0.5,8,12,66.7,108,44,5,5,100.0,3,5,60.0,0,0,,0,0.0,0.0,0.0,0,2,0,0,0,Matches
Morgan Sanson,fr FRA,MF,28-175,0.1,5,7,71.4,55,12,3,4,75.0,1,2,50.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,1,Matches
Jhon Durán,co COL,FW,19-058,0.1,3,5,60.0,48,7,1,2,50.0,2,3,66.7,0,0,,0,0.0,0.0,0.0,0,0,1,0,1,Matches
Squad Total,,,27.7,21.0,7834,9999,78.3,137911,49724,3529,4037,87.4,3299,3860,85.5,782,1517,51.5,15,18.8,16.0,-3.8,174,590,147,46,723,
Opponent Total,,,27.0,21.0,8133,10345,78.6,144894,51852,3758,4316,87.1,3284,3870,84.9,912,1585,57.5,16,19.3,14.9,-3.3,174,589,160,33,712,
