Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Corner Kicks,Corner Kicks,Corner Kicks,Outcomes,Outcomes,Outcomes,Unnamed: 20_level_0
Player,Nation,Pos,Age,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,Matches
Ezri Konsa,eng ENG,DF,25-109,19.9,1023,977,42,27,1,3,4,14,0,0,0,0,881,4,10,Matches
Tyrone Mings,eng ENG,DF,29-333,19.0,949,914,33,27,1,9,2,6,0,0,0,0,797,2,4,Matches
Emiliano Martínez,ar ARG,GK,30-160,18.4,649,482,164,52,1,2,0,0,0,0,0,0,482,3,1,Matches
Ollie Watkins,eng ENG,FW,27-041,18.1,332,324,6,0,0,1,5,2,0,0,0,0,234,2,6,Matches
Leon Bailey,jm JAM,"FW,MF",25-184,14.6,376,347,29,4,3,5,70,5,15,12,0,0,234,0,18,Matches
Douglas Luiz,br BRA,MF,24-276,15.9,937,827,108,62,3,7,55,4,41,21,12,1,774,2,7,Matches
Jacob Ramsey,eng ENG,MF,21-257,13.7,502,496,2,2,0,0,8,0,0,0,0,0,415,4,11,Matches
John McGinn,sct SCO,MF,28-114,13.6,527,503,19,8,2,9,27,1,9,7,0,0,397,5,13,Matches
Boubacar Kamara,fr FRA,MF,23-078,13.3,717,692,25,23,0,7,0,0,0,0,0,0,603,0,19,Matches
Lucas Digne,fr FRA,DF,29-204,12.3,705,569,135,19,0,3,57,109,7,4,2,0,535,1,18,Matches
Emi Buendía,ar ARG,"MF,FW",26-046,13.6,574,535,38,5,4,3,16,5,5,2,0,1,450,1,21,Matches
Ashley Young,eng ENG,DF,37-215,13.2,738,584,148,27,2,8,25,116,5,2,0,2,549,6,19,Matches
Matty Cash,pl POL,DF,25-186,13.2,678,554,121,9,2,5,42,112,0,0,0,0,517,3,15,Matches
Danny Ings,eng ENG,FW,30-201,9.2,162,152,10,0,4,0,4,0,0,0,0,0,114,0,6,Matches
Philippe Coutinho,br BRA,"MF,FW",30-242,7.9,361,330,29,13,3,0,19,4,6,3,1,0,270,2,6,Matches
Leander Dendoncker,be BEL,MF,27-300,3.8,148,144,4,3,0,0,2,1,0,0,0,0,129,0,4,Matches
Robin Olsen,se SWE,GK,33-032,2.6,111,79,32,8,0,1,0,0,0,0,0,0,65,0,0,Matches
Diego Carlos,br BRA,DF,29-331,2.0,128,123,4,3,0,0,1,1,0,0,0,0,101,1,1,Matches
Álex Moreno,es ESP,DF,29-246,2.4,166,142,23,5,0,0,11,18,0,0,0,0,116,1,7,Matches
Calum Chambers,eng ENG,"DF,MF",28-020,1.2,83,78,3,1,0,0,0,2,0,0,0,0,69,2,1,Matches
Jan Bednarek,pl POL,DF,26-303,1.1,66,64,2,2,0,0,0,0,0,0,0,0,60,0,1,Matches
Ludwig Augustinsson,se SWE,DF,28-294,0.9,43,34,9,1,0,0,5,8,0,0,0,0,26,0,0,Matches
Cameron Archer,eng ENG,"FW,MF",21-203,0.5,12,11,1,1,0,0,1,0,0,0,0,0,8,0,1,Matches
Morgan Sanson,fr FRA,MF,28-175,0.1,7,7,0,0,0,0,0,0,0,0,0,0,5,0,0,Matches
Jhon Durán,co COL,FW,19-058,0.1,5,4,1,0,0,0,0,1,0,0,0,0,3,0,0,Matches
Squad Total,,,27.7,21.0,9999,8972,988,302,26,63,354,409,88,51,15,4,7834,39,189,
Opponent Total,,,27.0,21.0,10345,9306,995,255,27,115,339,452,109,56,34,3,8133,44,215,
