Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,Unnamed: 23_level_0
Player,Nation,Pos,Age,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,Matches
Emiliano Martínez,ar ARG,GK,30-160,19,19,1654,18.4,24,1.31,71,49,67.6,7,4,8,4,21.1,2,1,1,0,50.0,Matches
Robin Olsen,se SWE,GK,33-032,3,2,236,2.6,7,2.67,16,9,62.5,1,0,1,1,50.0,1,1,0,0,0.0,Matches
Squad Total,,,27.7,21,21,1890,21.0,31,1.48,87,58,66.7,8,4,9,5,23.8,3,2,1,0,33.3,
Opponent Total,,,27.0,21,21,1890,21.0,25,1.19,85,61,72.9,9,4,8,6,28.6,2,2,0,0,0.0,
