Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Starts,Starts,Starts,Subs,Subs,Subs,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG),Unnamed: 26_level_0
Player,Nation,Pos,Age,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off,Matches
Ezri Konsa,eng ENG,DF,25-109,21,1792.0,85.0,94.8,19.9,20,90.0,19,1,1.0,0,1.33,23.0,30.0,-7.0,-0.35,-1.27,23.8,27.7,-4.0,-0.2,-1.26,Matches
Tyrone Mings,eng ENG,DF,29-333,19,1710.0,90.0,90.5,19.0,19,90.0,19,0,,1,1.47,25.0,28.0,-3.0,-0.16,1.34,25.1,27.9,-2.8,-0.15,-0.15,Matches
Emiliano Martínez,ar ARG,GK,30-160,19,1654.0,87.0,87.5,18.4,19,87.0,18,0,,1,1.32,22.0,24.0,-2.0,-0.11,1.42,23.8,22.9,0.9,0.05,1.46,Matches
Ollie Watkins,eng ENG,FW,27-041,20,1628.0,81.0,86.1,18.1,19,84.0,15,1,25.0,0,1.25,21.0,28.0,-7.0,-0.39,-0.73,21.4,25.7,-4.3,-0.24,-0.73,Matches
Leon Bailey,jm JAM,"FW,MF",25-184,20,1317.0,66.0,69.7,14.6,17,75.0,4,3,14.0,0,1.35,20.0,24.0,-4.0,-0.27,0.04,19.9,23.7,-3.8,-0.26,-0.41,Matches
Douglas Luiz,br BRA,MF,24-276,20,1434.0,72.0,75.9,15.9,16,84.0,10,4,23.0,1,1.25,20.0,21.0,-1.0,-0.06,0.92,19.5,20.4,-0.9,-0.06,0.32,Matches
Jacob Ramsey,eng ENG,MF,21-257,18,1236.0,69.0,65.4,13.7,15,77.0,5,3,25.0,0,1.33,17.0,20.0,-3.0,-0.22,0.19,16.0,18.8,-2.8,-0.21,-0.2,Matches
John McGinn,sct SCO,MF,28-114,17,1223.0,72.0,64.7,13.6,14,82.0,7,3,24.0,1,1.24,10.0,19.0,-9.0,-0.66,-1.07,15.6,17.3,-1.7,-0.13,0.02,Matches
Boubacar Kamara,fr FRA,MF,23-078,15,1195.0,80.0,63.2,13.3,14,84.0,9,1,13.0,0,1.53,17.0,20.0,-3.0,-0.23,0.16,15.4,20.3,-4.9,-0.37,-0.64,Matches
Lucas Digne,fr FRA,DF,29-204,15,1111.0,74.0,58.8,12.3,14,78.0,9,1,22.0,0,1.33,17.0,19.0,-2.0,-0.16,0.3,12.0,17.7,-5.6,-0.46,-0.78,Matches
Emi Buendía,ar ARG,"MF,FW",26-046,21,1220.0,58.0,64.6,13.6,13,78.0,3,8,26.0,0,1.33,20.0,23.0,-3.0,-0.22,0.18,18.9,20.5,-1.6,-0.11,0.06,Matches
Ashley Young,eng ENG,DF,37-215,17,1192.0,70.0,63.1,13.2,13,84.0,11,4,25.0,4,1.65,15.0,19.0,-4.0,-0.3,-0.04,16.7,19.6,-2.9,-0.22,-0.22,Matches
Matty Cash,pl POL,DF,25-186,17,1185.0,70.0,62.7,13.2,13,83.0,9,4,28.0,1,1.24,16.0,22.0,-6.0,-0.46,-0.46,16.3,16.6,-0.3,-0.02,0.3,Matches
Danny Ings,eng ENG,FW,30-201,18,824.0,46.0,43.6,9.2,8,80.0,3,10,19.0,1,1.33,9.0,13.0,-4.0,-0.44,-0.27,13.6,12.6,1.0,0.11,0.44,Matches
Philippe Coutinho,br BRA,"MF,FW",30-242,18,712.0,40.0,37.7,7.9,6,74.0,1,12,23.0,1,1.22,7.0,7.0,0.0,0.0,0.46,8.8,7.0,1.9,0.24,0.59,Matches
Leander Dendoncker,be BEL,MF,27-300,12,341.0,28.0,18.0,3.8,3,73.0,0,9,14.0,1,1.42,8.0,6.0,2.0,0.53,0.99,6.7,5.0,1.8,0.46,0.73,Matches
Robin Olsen,se SWE,GK,33-032,3,236.0,79.0,12.5,2.6,2,90.0,2,1,56.0,18,1.0,3.0,7.0,-4.0,-1.53,-1.42,2.5,6.2,-3.7,-1.41,-1.46,Matches
Diego Carlos,br BRA,DF,29-331,2,179.0,90.0,9.5,2.0,2,90.0,1,0,,0,1.5,2.0,3.0,-1.0,-0.5,-0.24,2.9,1.9,1.0,0.52,0.72,Matches
Álex Moreno,es ESP,DF,29-246,3,216.0,72.0,11.4,2.4,1,90.0,1,2,63.0,0,2.0,2.0,2.0,0.0,0.0,0.32,3.5,3.7,-0.2,-0.08,0.06,Matches
Calum Chambers,eng ENG,"DF,MF",28-020,4,110.0,28.0,5.8,1.2,1,90.0,1,3,7.0,16,2.25,0.0,1.0,-1.0,-0.82,-0.57,0.7,0.8,-0.1,-0.1,0.04,Matches
Jan Bednarek,pl POL,DF,26-303,3,100.0,33.0,5.3,1.1,1,45.0,0,2,28.0,10,1.33,0.0,1.0,-1.0,-0.9,-0.65,2.4,1.1,1.3,1.17,1.38,Matches
Ludwig Augustinsson,se SWE,DF,28-294,3,77.0,26.0,4.1,0.9,1,44.0,0,2,17.0,9,1.67,1.0,0.0,1.0,1.17,1.52,2.5,0.8,1.6,1.92,2.14,Matches
Cameron Archer,eng ENG,"FW,MF",21-203,6,49.0,8.0,2.6,0.5,0,,0,6,8.0,8,1.17,0.0,1.0,-1.0,-1.84,-1.59,0.2,0.4,-0.1,-0.25,-0.11,Matches
Morgan Sanson,fr FRA,MF,28-175,2,11.0,6.0,0.6,0.1,0,,0,2,6.0,11,3.0,0.0,1.0,-1.0,-8.18,-7.94,0.0,0.4,-0.4,-3.44,-3.33,Matches
Jhon Durán,co COL,FW,19-058,1,9.0,9.0,0.5,0.1,0,,0,1,9.0,0,0.0,0.0,0.0,0.0,0.0,0.29,0.2,0.1,0.2,1.68,1.83,Matches
Lamare Bogarde,nl NED,MF,19-035,0,,,,,0,,0,0,,3,,,,,,,,,,,,Matches
Tim Iroegbunam,eng ENG,MF,19-224,0,,,,,0,,0,0,,2,,,,,,,,,,,,Matches
Filip Marshall,eng ENG,GK,19-291,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
Marvelous Nakamba,zw ZIM,MF,29-021,0,,,,,0,,0,0,,9,,,,,,,,,,,,Matches
Viljami Sinisalo,fi FIN,GK,21-121,0,,,,,0,,0,0,,2,,,,,,,,,,,,Matches
Kadan Young,eng ENG,MF,17-021,0,,,,,0,,0,0,,4,,,,,,,,,,,,Matches
Squad Total,,,27.7,21,1890.0,90.0,100.0,21.0,231,83.0,147,83,20.0,105,1.33,25.0,31.0,-6.0,-0.29,,26.3,29.1,-2.8,-0.13,,
Opponent Total,,,27.0,21,1890.0,90.0,100.0,21.0,231,83.0,147,83,20.0,97,1.48,31.0,25.0,6.0,0.29,,29.1,26.3,2.8,0.13,,
