Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Aerial Duels,Aerial Duels,Aerial Duels,Unnamed: 21_level_0
Player,Nation,Pos,Age,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
Ezri Konsa,eng ENG,DF,25-109,19.9,3,0,0,7,37,0,4,16,8,0,0,0,96,33,24,57.9,Matches
Tyrone Mings,eng ENG,DF,29-333,19.0,4,0,0,13,12,1,2,32,2,1,0,1,99,30,17,63.8,Matches
Emiliano Martínez,ar ARG,GK,30-160,18.4,3,0,0,0,3,0,0,1,0,0,0,0,18,5,0,100.0,Matches
Ollie Watkins,eng ENG,FW,27-041,18.1,1,0,0,12,21,10,5,6,6,0,0,0,44,39,61,39.0,Matches
Leon Bailey,jm JAM,"FW,MF",25-184,14.6,4,0,0,20,13,8,70,3,5,0,0,0,46,16,36,30.8,Matches
Douglas Luiz,br BRA,MF,24-276,15.9,2,1,0,25,20,1,55,22,20,0,0,0,107,17,15,53.1,Matches
Jacob Ramsey,eng ENG,MF,21-257,13.7,4,0,0,15,26,1,8,15,25,0,0,1,72,9,21,30.0,Matches
John McGinn,sct SCO,MF,28-114,13.6,4,0,0,20,26,0,27,12,24,1,0,0,83,13,9,59.1,Matches
Boubacar Kamara,fr FRA,MF,23-078,13.3,3,0,0,21,19,0,0,11,18,0,0,0,93,19,14,57.6,Matches
Lucas Digne,fr FRA,DF,29-204,12.3,2,0,0,12,19,2,57,13,8,0,1,1,67,18,13,58.1,Matches
Emi Buendía,ar ARG,"MF,FW",26-046,13.6,0,0,0,22,21,1,16,10,13,0,0,0,78,14,26,35.0,Matches
Ashley Young,eng ENG,DF,37-215,13.2,3,0,0,14,11,0,25,14,20,0,1,0,89,9,7,56.3,Matches
Matty Cash,pl POL,DF,25-186,13.2,3,0,0,13,8,2,42,20,18,0,1,0,61,10,7,58.8,Matches
Danny Ings,eng ENG,FW,30-201,9.2,3,0,0,8,5,9,4,1,5,0,0,0,19,16,12,57.1,Matches
Philippe Coutinho,br BRA,"MF,FW",30-242,7.9,3,0,0,14,12,2,19,3,9,0,0,0,38,3,12,20.0,Matches
Leander Dendoncker,be BEL,MF,27-300,3.8,0,0,0,1,0,0,2,6,4,0,0,0,20,5,6,45.5,Matches
Robin Olsen,se SWE,GK,33-032,2.6,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,,Matches
Diego Carlos,br BRA,DF,29-331,2.0,0,0,0,1,0,0,1,1,0,0,0,0,14,3,3,50.0,Matches
Álex Moreno,es ESP,DF,29-246,2.4,1,0,0,6,4,0,11,0,2,0,0,0,17,2,1,66.7,Matches
Calum Chambers,eng ENG,"DF,MF",28-020,1.2,1,0,0,5,0,0,0,3,2,0,0,0,9,2,2,50.0,Matches
Jan Bednarek,pl POL,DF,26-303,1.1,0,0,0,1,1,0,0,2,3,0,0,0,4,0,0,,Matches
Ludwig Augustinsson,se SWE,DF,28-294,0.9,1,0,0,1,3,0,5,0,1,0,0,0,9,4,1,80.0,Matches
Cameron Archer,eng ENG,"FW,MF",21-203,0.5,0,0,0,2,1,1,1,0,0,0,0,0,2,0,0,,Matches
Morgan Sanson,fr FRA,MF,28-175,0.1,0,0,0,0,2,0,0,0,1,0,0,0,1,0,1,0.0,Matches
Jhon Durán,co COL,FW,19-058,0.1,0,0,0,0,1,1,0,0,0,0,0,0,2,0,0,,Matches
Squad Total,,,27.7,21.0,45,1,0,233,265,39,354,191,194,2,3,3,1090,267,288,48.1,
Opponent Total,,,27.0,21.0,39,1,1,272,223,44,339,187,207,0,2,1,1128,288,267,51.9,
