Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,Pts/MP,xG,xGA,xGD,xGD/90,Last 5,Attendance,Top Team Scorer,Goalkeeper,Notes
9,Chelsea,21,8,6,7,22,21,1,30,1.43,25.2,27.0,-1.9,-0.09,L L W D D,39957,Kai Havertz - 5,Kepa Arrizabalaga,
10,Liverpool,20,8,5,7,34,28,6,29,1.45,35.4,29.2,6.2,0.31,W L L D L,53228,"Mohamed Salah, Roberto Firmino - 7",Alisson,
11,Aston Villa,21,8,4,9,25,31,-6,28,1.33,26.3,29.1,-2.8,-0.13,W D W W L,41627,Danny Ings - 6,Emiliano Martínez,
12,Crystal Palace,21,6,6,9,19,29,-10,24,1.14,19.6,29.6,-10.0,-0.48,L L D D L,24712,Wilfried Zaha - 6,Vicente Guaita,
13,Nott'ham Forest,21,6,6,9,17,35,-18,24,1.14,23.4,31.3,-7.9,-0.37,D W W D W,29110,Brennan Johnson - 5,Dean Henderson,
