Player,Nation,Pos,Age,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl.1,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
Joshua Kimmich,de GER,MF,28-057,23.6,64,38,17,39,8,33,60,55.0,27,21,2,19,34,98,28,0,Matches
Dayot Upamecano,fr FRA,DF,24-161,23.0,60,34,39,21,0,26,41,63.4,15,24,6,18,25,85,66,4,Matches
Alphonso Davies,ca CAN,DF,22-155,21.3,43,26,24,12,7,18,38,47.4,20,26,4,22,23,66,21,3,Matches
Benjamin Pavard,fr FRA,DF,27-009,20.0,54,34,27,19,8,26,32,81.3,6,25,11,14,33,87,57,0,Matches
Jamal Musiala,de GER,"MF,FW",20-039,18.8,28,20,8,14,6,10,23,43.5,13,19,1,18,15,43,3,0,Matches
Matthijs de Ligt,nl NED,DF,23-237,18.8,20,14,9,10,1,8,13,61.5,5,25,17,8,17,37,65,0,Matches
Leon Goretzka,de GER,MF,28-059,15.6,35,22,18,11,6,21,37,56.8,16,33,3,30,23,58,25,0,Matches
Leroy Sané,de GER,"MF,FW",27-085,17.5,30,23,8,15,7,14,25,56.0,11,9,1,8,2,32,1,2,Matches
Serge Gnabry,de GER,"FW,MF",27-266,14.9,23,15,7,8,8,9,20,45.0,11,19,1,18,8,31,3,1,Matches
Thomas Müller,de GER,"FW,MF",33-205,12.5,14,8,3,7,4,4,9,44.4,5,8,2,6,3,17,7,0,Matches
Sadio Mané,sn SEN,FW,30-361,12.2,8,3,2,2,4,1,8,12.5,7,14,2,12,0,8,2,0,Matches
Eric Maxim Choupo-Moting,cm CMR,FW,34-014,12.1,10,7,2,6,2,1,2,50.0,1,8,0,8,0,10,5,0,Matches
Manuel Neuer,de GER,GK,37-010,12.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,4,1,Matches
Yann Sommer,ch SUI,GK,34-110,11.0,0,0,0,0,0,0,0,,0,0,0,0,1,1,4,0,Matches
Kingsley Coman,fr FRA,"FW,MF",26-297,11.1,10,7,3,5,2,6,12,50.0,6,17,1,16,1,11,4,0,Matches
Marcel Sabitzer,at AUT,MF,29-020,7.0,27,14,11,10,6,10,17,58.8,7,3,0,3,10,37,9,0,Matches
Noussair Mazraoui,ma MAR,DF,25-143,6.3,17,12,3,6,8,8,14,57.1,6,5,1,4,6,23,14,0,Matches
Lucas Hernández,fr FRA,DF,27-051,5.3,6,4,3,3,0,5,6,83.3,1,2,1,1,5,11,7,0,Matches
João Cancelo,pt POR,"DF,FW",28-314,4.1,13,10,5,6,2,4,11,36.4,7,5,1,4,5,18,8,0,Matches
Josip Stanišić,hr CRO,DF,23-004,5.2,19,11,14,2,3,12,17,70.6,5,6,0,6,6,25,9,1,Matches
Sven Ulreich,de GER,GK,34-246,3.0,1,1,1,0,0,1,1,100.0,0,0,0,0,0,1,0,1,Matches
Ryan Gravenberch,nl NED,MF,20-325,3.6,10,6,1,8,1,5,10,50.0,5,3,1,2,4,14,5,0,Matches
Mathys Tel,fr FRA,FW,17-344,3.5,1,1,0,1,0,1,1,100.0,0,5,1,4,0,1,1,0,Matches
Daley Blind,nl NED,"DF,MF",33-028,1.5,2,0,2,0,0,0,1,0.0,1,4,2,2,2,4,6,0,Matches
Paul Wanner,de GER,MF,17-104,0.3,3,1,1,2,0,1,1,100.0,0,0,0,0,0,3,1,0,Matches
Gabriel Vidovic,hr CRO,FW,19-126,0.2,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
Arijon Ibrahimović,de GER,MF,17-116,0.2,1,1,1,0,0,0,0,,0,0,0,0,0,1,0,0,Matches
Squad Total,,,27.3,26.0,499,312,209,207,83,224,399,56.1,175,281,58,223,223,722,355,13,
Opponent Total,,,27.1,26.0,550,314,264,229,57,266,607,43.8,341,324,117,207,305,855,528,9,
