Player,Nation,Pos,Age,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%.1,Matches
Manuel Neuer,de GER,GK,37-007,12,12,1080,12.0,11,0.92,44,33,79.5,7,4,1,4,33.3,2,2,0,0,0.0,Matches
Yann Sommer,ch SUI,GK,34-107,11,11,990,11.0,16,1.45,36,20,66.7,6,3,2,2,18.2,4,4,0,0,0.0,Matches
Sven Ulreich,de GER,GK,34-243,3,3,270,3.0,2,0.67,8,5,75.0,3,0,0,2,66.7,1,0,1,0,100.0,Matches
Squad Total,,,27.3,26,26,2340,26.0,29,1.12,88,58,73.9,16,7,3,8,30.8,7,6,1,0,14.3,
Opponent Total,,,27.1,26,26,2340,26.0,76,2.92,203,127,63.5,3,7,16,1,3.8,4,2,2,0,50.0,
