Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,xG.1,xAG.1,xG+xAG,npxG.1,npxG+xAG.1,Matches
Yanis Hamache,dz ALG,MF,23-264,2,2,180.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.6,0.7,13.0,10.0,12.0,0.0,0.5,0.5,0.0,0.5,0.03,0.3,0.33,0.03,0.33,Matches
Robson,br BRA,DF,22-317,6,1,122.0,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.14,0.16,0.02,0.16,Matches
Tiago Fonseca Morais,pt POR,FW,19-212,2,0,26.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Júlio Dabo,pt POR,"DF,FW",19-021,3,0,13.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Miguel Reisinho,pt POR,DF,23-359,1,0,9.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Joel silva,pt POR,MF,20-051,2,0,7.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Berna,pt POR,MF,19-200,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Jeriel Córdova,ve VEN,FW,20-289,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Pedro gomes,pt POR,DF,19-303,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
João Gonçalves,pt POR,GK,22-149,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Squad Total,,,27.8,25,275,2250.0,25.0,28.0,21.0,49.0,26.0,2.0,4.0,76.0,5.0,26.7,23.5,16.9,40.4,367.0,781.0,775.0,1.12,0.84,1.96,1.04,1.88,1.07,0.68,1.74,0.94,1.62,
Opponent Total,,,26.7,25,275,2250.0,25.0,39.0,27.0,66.0,36.0,3.0,5.0,67.0,5.0,34.5,30.4,25.1,55.4,410.0,1006.0,997.0,1.56,1.08,2.64,1.44,2.52,1.38,1.0,2.38,1.21,2.22,
