Player,Nation,Pos,Age,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%.1,Matches
Rafael Bracalli,br BRA,GK,41-336,21,21,1890,21.0,35,1.67,102,67,67.6,5,6,10,4,19.0,4,2,1,1,33.3,Matches
César,br BRA,GK,31-069,5,5,450,5.0,9,1.8,15,6,46.7,3,0,2,1,20.0,1,1,0,0,0.0,Matches
Squad Total,,,27.8,26,26,2340,26.0,44,1.69,117,73,65.0,8,6,12,5,19.2,5,3,1,1,25.0,
Opponent Total,,,26.7,26,26,2340,26.0,30,1.15,85,54,67.1,12,6,8,8,30.8,4,2,1,1,33.3,
