Player,Nation,Pos,Age,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive.1,PassDead.1,TO.1,Sh.1,Fld.1,Def.1,Matches
Pedro Malheiro,pt POR,"DF,MF",22-072,23.9,32,1.34,27,3,0,0,0,2,5,0.21,4,1,0,0,0,0,Matches
Gaius Makouta,cg CGO,MF,25-252,22.5,35,1.55,25,2,2,4,1,1,7,0.31,6,0,0,1,0,0,Matches
Bruno Onyemaechi,ng NGA,DF,24-000,20.8,34,1.63,22,6,1,1,3,1,3,0.14,2,1,0,0,0,0,Matches
Sebastián Pérez Cardona,co COL,MF,30-005,20.1,33,1.64,30,0,0,1,1,1,2,0.1,2,0,0,0,0,0,Matches
Rafael Bracalli,br BRA,GK,41-333,20.0,2,0.1,2,0,0,0,0,0,1,0.05,1,0,0,0,0,0,Matches
Rodrigo Abascal,uy URU,DF,29-079,18.5,21,1.13,19,2,0,0,0,0,3,0.16,3,0,0,0,0,0,Matches
Vincent Sasso,fr FRA,DF,32-046,17.6,8,0.46,5,0,0,1,1,1,0,0.0,0,0,0,0,0,0,Matches
Yusupha Njie,gm GAM,FW,29-090,17.7,37,2.09,22,0,4,6,4,1,3,0.17,1,0,0,1,1,0,Matches
Reggie Cannon,us USA,DF,24-296,16.9,2,0.12,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Ricardo Mangas,pt POR,"MF,FW",25-015,14.5,21,1.44,17,0,2,1,1,0,2,0.14,2,0,0,0,0,0,Matches
Bruno Lourenço,pt POR,"MF,FW",25-060,14.1,38,2.68,31,5,0,0,2,0,4,0.28,2,1,0,0,1,0,Matches
Salvador Agra,pt POR,"FW,MF",31-143,12.2,35,2.86,25,8,2,0,0,0,3,0.25,1,1,1,0,0,0,Matches
Kenji Gorré,cw CUW,"FW,MF",28-186,12.1,57,4.72,34,7,9,3,4,0,8,0.66,6,0,0,1,1,0,Matches
Ibrahima Camará,gn GUI,MF,24-068,8.6,24,2.82,20,3,0,1,0,0,4,0.47,3,0,0,1,0,0,Matches
Róbert Boženík,sk SVK,FW,23-136,6.7,17,2.55,13,0,1,2,1,0,1,0.15,0,0,0,1,0,0,Matches
César,br BRA,GK,31-066,5.0,1,0.2,0,1,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Ilija Vukotić,me MNE,MF,24-086,4.3,8,1.86,5,1,0,1,0,1,2,0.46,2,0,0,0,0,0,Matches
Masaki Watai,jp JPN,"MF,FW",23-259,4.7,13,2.74,11,1,0,0,0,1,0,0.0,0,0,0,0,0,0,Matches
Filipe Ferreira,pt POR,"DF,MF",32-188,2.5,5,2.04,5,0,0,0,0,0,1,0.41,1,0,0,0,0,0,Matches
Martim Tavares,pt POR,"FW,DF",19-144,3.8,9,2.35,5,0,0,1,3,0,2,0.52,0,0,0,0,2,0,Matches
Luís Santos,pt POR,"FW,MF",23-073,2.5,1,0.4,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Yanis Hamache,dz ALG,MF,23-264,2.0,9,4.5,8,0,0,1,0,0,1,0.5,1,0,0,0,0,0,Matches
Robson,br BRA,DF,22-317,1.4,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Tiago Fonseca Morais,pt POR,FW,19-212,0.3,2,6.92,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Júlio Dabo,pt POR,"DF,FW",19-021,0.1,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Miguel Reisinho,pt POR,DF,23-359,0.1,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Joel silva,pt POR,MF,20-051,0.1,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Squad Total,,,27.8,25.0,444,17.76,331,39,21,23,21,9,52,2.08,37,4,1,5,5,0,
Opponent Total,,,26.7,25.0,497,19.88,351,49,30,29,28,10,67,2.68,52,1,4,6,4,0,
