Player,Nation,Pos,Age,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%.1,Matches
Hobie Verhulst,nl NED,GK,30-001,16,16,1440,16.0,17,1.06,51,33,68.6,10,3,3,5,31.3,2,1,1,0,50.0,Matches
Mathew Ryan,au AUS,GK,30-360,11,11,990,11.0,14,1.27,28,14,60.7,6,3,2,3,27.3,3,3,0,0,0.0,Matches
Squad Total,,,24.8,27,27,2430,27.0,31,1.15,79,47,65.8,16,6,5,8,29.6,5,4,1,0,20.0,
Opponent Total,,,25.6,27,27,2430,27.0,53,1.96,156,105,66.7,5,6,16,0,0.0,2,1,1,0,50.0,
