Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,Pts/MP,xG,xGA,xGD,xGD/90,MP.1,W.1,D.1,L.1,GF.1,GA.1,GD.1,Pts.1,Pts/MP.1,xG.1,xGA.1,xGD.1,xGD/90.1
7,Casa Pia,12,5,3,4,10,9,1,18,1.5,11.2,12.5,-1.3,-0.11,12,5,2,5,10,15,-5,17,1.42,12.6,21.1,-8.5,-0.71
8,Rio Ave,12,7,1,4,14,9,5,22,1.83,12.2,12.0,0.2,0.01,13,2,5,6,11,19,-8,11,0.85,12.2,22.7,-10.5,-0.81
9,Vizela,12,4,2,6,12,13,-1,14,1.17,18.8,11.9,6.9,0.57,13,5,3,5,15,14,1,18,1.38,13.3,18.6,-5.3,-0.41
10,Chaves,12,3,5,4,14,15,-1,14,1.17,16.9,18.4,-1.5,-0.12,13,5,3,5,12,16,-4,18,1.38,14.0,22.0,-8.1,-0.62
11,Famalicão,12,7,1,4,13,9,4,22,1.83,13.1,13.9,-0.8,-0.06,12,2,2,8,10,22,-12,8,0.67,10.8,17.2,-6.5,-0.54
