Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes
2022-08-05,20:00,Premier League,Matchweek 1,Fri,Away,W,2,0,Crystal Palace,1.0,1.2,44.0,25286.0,Martin Ødegaard,4-3-3,Anthony Taylor,Match Report,
2022-08-13,15:00,Premier League,Matchweek 2,Sat,Home,W,4,2,Leicester City,2.7,0.5,50.0,60033.0,Martin Ødegaard,4-3-3,Darren England,Match Report,
2022-08-20,17:30,Premier League,Matchweek 3,Sat,Away,W,3,0,Bournemouth,1.3,0.3,57.0,10423.0,Martin Ødegaard,4-3-3,Craig Pawson,Match Report,
2022-08-27,17:30,Premier League,Matchweek 4,Sat,Home,W,2,1,Fulham,2.6,0.8,71.0,60164.0,Martin Ødegaard,4-3-3,Jarred Gillett,Match Report,
2022-08-31,19:30,Premier League,Matchweek 5,Wed,Home,W,2,1,Aston Villa,2.4,0.4,59.0,60012.0,Martin Ødegaard,4-3-3,Robert Jones,Match Report,
2022-09-04,16:30,Premier League,Matchweek 6,Sun,Away,L,1,3,Manchester Utd,1.3,1.5,60.0,73431.0,Martin Ødegaard,4-3-3,Paul Tierney,Match Report,
2022-09-08,18:45,Europa Lg,Group stage,Thu,Away,W,2,1,ch Zürich,2.3,1.2,69.0,17070.0,Granit Xhaka,4-3-3,Mohammed Al Hakim,Match Report,
2022-09-18,12:00,Premier League,Matchweek 8,Sun,Away,W,3,0,Brentford,1.5,0.5,63.0,17122.0,Granit Xhaka,4-3-3,David Coote,Match Report,
2022-10-01,12:30,Premier League,Matchweek 9,Sat,Home,W,3,1,Tottenham,2.4,1.6,64.0,60278.0,Martin Ødegaard,4-3-3,Anthony Taylor,Match Report,
2022-10-06,20:00,Europa Lg,Group stage,Thu,Home,W,3,0,no Bodø/Glimt,3.4,0.8,50.0,59724.0,Granit Xhaka,4-3-3,Harm Osmers,Match Report,
2022-10-09,16:30,Premier League,Matchweek 10,Sun,Home,W,3,2,Liverpool,2.7,1.1,43.0,60059.0,Martin Ødegaard,4-3-3,Michael Oliver,Match Report,
2022-10-13,18:45,Europa Lg,Group stage,Thu,Away,W,1,0,no Bodø/Glimt,0.7,0.5,55.0,7922.0,Martin Ødegaard,4-3-3,Irfan Peljto,Match Report,
2022-10-16,14:00,Premier League,Matchweek 11,Sun,Away,W,1,0,Leeds United,0.5,1.8,53.0,36700.0,Martin Ødegaard,4-3-3,Chris Kavanagh,Match Report,
2022-10-20,18:00,Europa Lg,Group stage,Thu,Home,W,1,0,nl PSV Eindhoven,2.7,0.3,62.0,52200.0,Granit Xhaka,4-3-3,Alejandro Hernández,Match Report,
2022-10-23,14:00,Premier League,Matchweek 13,Sun,Away,D,1,1,Southampton,1.0,0.7,59.0,31145.0,Martin Ødegaard,4-3-3,Robert Jones,Match Report,
2022-10-27,18:45,Europa Lg,Group stage,Thu,Away,L,0,2,nl PSV Eindhoven,1.4,0.8,68.0,35000.0,Martin Ødegaard,4-3-3,Marco Di Bello,Match Report,
2022-10-30,14:00,Premier League,Matchweek 14,Sun,Home,W,5,0,Nott'ham Forest,2.3,0.4,69.0,60263.0,Martin Ødegaard,4-3-3,Simon Hooper,Match Report,
2022-11-03,20:00,Europa Lg,Group stage,Thu,Home,W,1,0,ch Zürich,1.6,0.4,55.0,48500.0,Gabriel Jesus,4-3-3,Erik Lambrechts,Match Report,
2022-11-06,12:00,Premier League,Matchweek 15,Sun,Away,W,1,0,Chelsea,2.1,0.3,55.0,40142.0,Martin Ødegaard,4-3-3,Michael Oliver,Match Report,
2022-11-09,19:45,EFL Cup,Third round,Wed,Home,L,1,3,Brighton,,,57.0,59233.0,Rob Holding,4-2-3-1,Jarred Gillett,Match Report,
2022-11-12,19:45,Premier League,Matchweek 16,Sat,Away,W,2,0,Wolves,2.1,0.7,62.0,34624.0,Martin Ødegaard,4-3-3,Stuart Attwell,Match Report,
2022-12-26,20:00,Premier League,Matchweek 17,Mon,Home,W,3,1,West Ham,2.1,1.0,66.0,60125.0,Martin Ødegaard,4-3-3,Michael Oliver,Match Report,
2022-12-31,17:30,Premier League,Matchweek 18,Sat,Away,W,4,2,Brighton,2.9,1.2,32.0,31647.0,Martin Ødegaard,4-3-3,Anthony Taylor,Match Report,
2023-01-03,19:45,Premier League,Matchweek 19,Tue,Home,D,0,0,Newcastle Utd,1.1,1.0,66.0,60319.0,Martin Ødegaard,4-3-3,Andy Madley,Match Report,
2023-01-09,20:00,FA Cup,Third round proper,Mon,Away,W,3,0,Oxford United,,,64.0,11538.0,Rob Holding,4-3-3,David Coote,Match Report,
2023-01-15,16:30,Premier League,Matchweek 20,Sun,Away,W,2,0,Tottenham,1.8,1.6,49.0,61870.0,Martin Ødegaard,4-3-3,Craig Pawson,Match Report,
2023-01-22,16:30,Premier League,Matchweek 21,Sun,Home,W,3,2,Manchester Utd,3.1,0.4,57.0,60325.0,Martin Ødegaard,4-3-3,Anthony Taylor,Match Report,
2023-01-27,20:00,FA Cup,Fourth round proper,Fri,Away,L,0,1,Manchester City,,,46.0,51589.0,Granit Xhaka,4-3-3,Paul Tierney,Match Report,
2023-02-04,12:30,Premier League,Matchweek 22,Sat,Away,L,0,1,Everton,0.9,1.7,70.0,39314.0,Martin Ødegaard,4-3-3,David Coote,Match Report,
2023-02-11,15:00,Premier League,Matchweek 23,Sat,Home,D,1,1,Brentford,1.6,2.0,69.0,60254.0,Martin Ødegaard,4-3-3,Peter Bankes,Match Report,
2023-02-15,19:30,Premier League,Matchweek 12,Wed,Home,L,1,3,Manchester City,1.6,1.8,63.0,60276.0,Martin Ødegaard,4-3-3,Anthony Taylor,Match Report,
2023-02-18,12:30,Premier League,Matchweek 24,Sat,Away,W,4,2,Aston Villa,3.2,0.5,67.0,42066.0,Martin Ødegaard,4-3-3,Simon Hooper,Match Report,
2023-02-25,15:00,Premier League,Matchweek 25,Sat,Away,W,1,0,Leicester City,0.7,0.0,65.0,32227.0,Oleksandr Zinchenko,4-3-3,Craig Pawson,Match Report,
2023-03-01,19:45,Premier League,Matchweek 7,Wed,Home,W,4,0,Everton,2.6,1.2,73.0,60213.0,Martin Ødegaard,4-3-3,Michael Oliver,Match Report,
2023-03-04,15:00,Premier League,Matchweek 26,Sat,Home,W,3,2,Bournemouth,2.1,1.3,79.0,60222.0,Martin Ødegaard,4-3-3,Chris Kavanagh,Match Report,
2023-03-09,17:45,Europa Lg,Round of 16,Thu,Away,D,2,2,pt Sporting CP,2.0,2.2,67.0,36006.0,Granit Xhaka,4-3-3,Tobias Stieler,Match Report,Leg 1 of 2
2023-03-12,14:00,Premier League,Matchweek 27,Sun,Away,W,3,0,Fulham,2.3,0.8,55.0,24426.0,Martin Ødegaard,4-3-3,David Coote,Match Report,
2023-03-16,20:00,Europa Lg,Round of 16,Thu,Home,D,1 (3),1 (5),pt Sporting CP,1.6,1.3,53.0,59929.0,Granit Xhaka,4-3-3,Antonio Matéu,Match Report,Leg 2 of 2; Sporting CP won; Sporting CP won on penalty kicks following extra time
2023-03-19,14:00,Premier League,Matchweek 28,Sun,Home,,,,Crystal Palace,,,,,,,,Head-to-Head,
2023-04-01,15:00,Premier League,Matchweek 29,Sat,Home,,,,Leeds United,,,,,,,,Head-to-Head,
2023-04-09,16:30,Premier League,Matchweek 30,Sun,Away,,,,Liverpool,,,,,,,,Head-to-Head,
2023-04-16,14:00,Premier League,Matchweek 31,Sun,Away,,,,West Ham,,,,,,,,Head-to-Head,
2023-04-21,20:00,Premier League,Matchweek 32,Fri,Home,,,,Southampton,,,,,,,,Head-to-Head,
2023-04-26,20:00,Premier League,Matchweek 33,Wed,Away,,,,Manchester City,,,,,,,,Head-to-Head,
2023-04-29,17:30,Premier League,Matchweek 34,Sat,Home,,,,Chelsea,,,,,,,,Head-to-Head,
