Unnamed: 0_level_0,Unnamed: 1_level_0,Home,Home,Home,Home,Home,Home,Home,Home,Home,Home,Home,Home,Home,Away,Away,Away,Away,Away,Away,Away,Away,Away,Away,Away,Away,Away
Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,Pts/MP,xG,xGA,xGD,xGD/90,MP,W,D,L,GF,GA,GD,Pts,Pts/MP,xG,xGA,xGD,xGD/90
16,Leeds United,10,3,4,3,15,14,1,13,1.3,12.5,15.4,-2.9,-0.29,11,1,3,7,13,22,-9,6,0.55,14.7,16.8,-2.1,-0.19
17,West Ham,10,4,1,5,11,12,-1,13,1.3,12.9,11.3,1.6,0.16,11,1,3,7,7,14,-7,6,0.55,13.7,12.0,1.7,0.16
18,Everton,11,3,2,6,10,14,-4,11,1.0,13.5,15.4,-1.9,-0.17,10,1,4,5,6,14,-8,7,0.7,8.6,19.0,-10.4,-1.04
19,Bournemouth,10,3,3,4,10,11,-1,12,1.2,8.7,12.7,-4.0,-0.4,11,1,2,8,9,32,-23,5,0.45,7.7,22.6,-14.9,-1.36
20,Southampton,10,1,3,6,9,17,-8,6,0.6,11.2,12.8,-1.6,-0.16,11,3,0,8,8,21,-13,9,0.82,9.1,15.4,-6.3,-0.58
