Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,SCA,SCA,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,GCA,GCA,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,Unnamed: 21_level_0
Player,Nation,Pos,Age,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def,Matches
James Tarkowski,eng ENG,DF,30-082,21.0,11,0.52,11,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Alex Iwobi,ng NGA,MF,26-282,20.8,52,2.5,43,3,2,1,2,1,5,0.24,4,0,0,0,1,0,Matches
Vitaliy Mykolenko,ua UKR,"DF,MF",23-256,19.8,31,1.57,27,1,0,2,1,0,2,0.1,1,0,0,1,0,0,Matches
Jordan Pickford,eng ENG,GK,28-339,20.0,6,0.3,3,3,0,0,0,0,1,0.05,1,0,0,0,0,0,Matches
Conor Coady,eng ENG,DF,29-349,18.9,15,0.79,14,0,0,0,1,0,1,0.05,1,0,0,0,0,0,Matches
Demarai Gray,eng ENG,"FW,MF",26-226,18.7,65,3.48,33,18,3,8,3,0,4,0.21,2,2,0,0,0,0,Matches
Amadou Onana,be BEL,MF,21-177,16.5,22,1.33,16,0,1,1,3,1,1,0.06,1,0,0,0,0,0,Matches
Idrissa Gana Gueye,sn SEN,MF,33-136,13.6,22,1.62,14,0,0,1,3,4,2,0.15,1,0,0,0,0,1,Matches
Anthony Gordon,eng ENG,FW,21-350,12.2,23,1.89,13,0,1,6,1,2,0,0.0,0,0,0,0,0,0,Matches
Nathan Patterson,sct SCO,"DF,MF",21-116,11.0,17,1.55,13,1,0,0,2,1,0,0.0,0,0,0,0,0,0,Matches
Dwight McNeil,eng ENG,"FW,DF",23-079,10.9,40,3.67,23,14,2,0,1,0,4,0.37,2,2,0,0,0,0,Matches
Séamus Coleman,ie IRL,DF,34-121,9.5,9,0.95,8,0,0,1,0,0,1,0.11,1,0,0,0,0,0,Matches
Dominic Calvert-Lewin,eng ENG,FW,25-330,8.1,13,1.6,10,0,3,0,0,0,2,0.25,1,0,1,0,0,0,Matches
Neal Maupay,fr FRA,FW,26-179,7.9,9,1.14,5,0,0,1,3,0,0,0.0,0,0,0,0,0,0,Matches
Tom Davies,eng ENG,MF,24-224,4.6,4,0.87,4,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Mason Holgate,eng ENG,DF,26-110,3.6,6,1.69,5,0,0,1,0,0,2,0.56,2,0,0,0,0,0,Matches
Abdoulaye Doucouré,ml MLI,MF,30-039,3.5,5,1.42,4,0,0,1,0,0,0,0.0,0,0,0,0,0,0,Matches
Yerry Mina,co COL,DF,28-139,2.6,1,0.38,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Ben Godfrey,eng ENG,DF,25-025,2.3,1,0.43,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Salomón Rondón,ve VEN,FW,33-146,1.2,4,3.3,4,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Asmir Begović,ba BIH,GK,35-234,1.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
James Garner,eng ENG,MF,21-333,1.6,1,0.63,0,0,0,1,0,0,0,0.0,0,0,0,0,0,0,Matches
Dele Alli,eng ENG,MF,26-304,0.4,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Isaac Price,nir NIR,MF,19-136,0.4,2,5.45,1,0,1,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Rúben Vinagre,pt POR,"DF,MF",23-306,0.3,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Thomas Cannon,ie IRL,FW,20-043,0.3,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Michael Keane,eng ENG,DF,30-029,0.3,1,3.91,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Ellis Simms,eng ENG,FW,22-035,0.2,1,5.29,1,0,0,0,0,0,1,5.29,1,0,0,0,0,0,Matches
Squad Total,,,26.9,21.0,361,17.19,255,40,13,24,20,9,26,1.24,18,4,1,1,1,1,
Opponent Total,,,27.2,21.0,596,28.38,438,62,21,39,22,14,48,2.29,33,1,3,7,4,0,
