Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Goals,Goals,Goals,Goals,Goals,Expected,Expected,Expected,Expected,Launched,Launched,Launched,Passes,Passes,Passes,Passes,Goal Kicks,Goal Kicks,Goal Kicks,Crosses,Crosses,Crosses,Sweeper,Sweeper,Sweeper,Unnamed: 30_level_0
Player,Nation,Pos,Age,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att,Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,Matches
Jordan Pickford,eng ENG,GK,28-339,20.0,28,2,1,4,0,28.7,0.27,0.7,0.03,147,409,35.9,555,92,51.9,40.4,178,68.0,51.2,300,10,3.3,27,1.35,15.5,Matches
Asmir Begović,ba BIH,GK,35-234,1.0,0,0,0,0,0,0.5,0.12,0.5,0.49,4,13,30.8,22,5,36.4,34.9,8,62.5,46.8,23,1,4.3,0,0.0,5.0,Matches
Squad Total,,,26.9,21.0,28,2,1,4,0,29.2,0.26,1.2,0.06,151,422,35.8,577,97,51.3,40.2,186,67.7,51.0,323,11,3.4,27,1.29,14.9,
Opponent Total,,,27.2,21.0,16,1,0,3,1,16.7,0.22,1.7,0.08,71,208,34.1,504,110,28.4,30.5,134,48.5,39.5,305,20,6.6,30,1.43,14.1,
