Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,Unnamed: 17_level_0,Unnamed: 18_level_0,Unnamed: 19_level_0,Unnamed: 20_level_0,Unnamed: 21_level_0
Player,Nation,Pos,Age,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
James Tarkowski,eng ENG,DF,30-082,21.0,24,13,18,6,0,9,19,47.4,10,57,44,13,29,53,114,2,Matches
Alex Iwobi,ng NGA,MF,26-282,20.8,41,21,23,16,2,17,29,58.6,12,22,1,21,13,54,20,0,Matches
Vitaliy Mykolenko,ua UKR,"DF,MF",23-256,19.8,34,17,25,9,0,15,27,55.6,12,33,13,20,26,60,61,0,Matches
Jordan Pickford,eng ENG,GK,28-339,20.0,0,0,0,0,0,0,0,,0,0,0,0,2,2,13,2,Matches
Conor Coady,eng ENG,DF,29-349,18.9,11,8,7,4,0,6,9,66.7,3,18,15,3,12,23,77,2,Matches
Demarai Gray,eng ENG,"FW,MF",26-226,18.7,16,13,3,8,5,10,16,62.5,6,11,2,9,10,26,15,0,Matches
Amadou Onana,be BEL,MF,21-177,16.5,50,33,18,27,5,20,27,74.1,7,17,4,13,19,69,25,0,Matches
Idrissa Gana Gueye,sn SEN,MF,33-136,13.6,33,21,19,10,4,9,22,40.9,13,29,7,22,32,65,17,2,Matches
Anthony Gordon,eng ENG,FW,21-350,12.2,34,22,17,10,7,8,23,34.8,15,19,0,19,4,38,11,0,Matches
Nathan Patterson,sct SCO,"DF,MF",21-116,11.0,39,17,25,11,3,23,33,69.7,10,19,3,16,11,50,34,0,Matches
Dwight McNeil,eng ENG,"FW,DF",23-079,10.9,30,20,17,6,7,10,18,55.6,8,18,0,18,8,38,13,0,Matches
Séamus Coleman,ie IRL,DF,34-121,9.5,15,13,8,7,0,6,9,66.7,3,11,5,6,12,27,33,1,Matches
Dominic Calvert-Lewin,eng ENG,FW,25-330,8.1,3,1,1,0,2,1,4,25.0,3,2,0,2,1,4,5,0,Matches
Neal Maupay,fr FRA,FW,26-179,7.9,6,3,2,1,3,1,1,100.0,0,4,0,4,2,8,0,0,Matches
Tom Davies,eng ENG,MF,24-224,4.6,10,7,4,5,1,4,6,66.7,2,7,1,6,3,13,6,1,Matches
Mason Holgate,eng ENG,DF,26-110,3.6,8,4,7,1,0,3,6,50.0,3,5,2,3,6,14,22,0,Matches
Abdoulaye Doucouré,ml MLI,MF,30-039,3.5,7,5,2,5,0,1,4,25.0,3,4,1,3,2,9,3,0,Matches
Yerry Mina,co COL,DF,28-139,2.6,9,4,4,5,0,7,7,100.0,0,2,1,1,2,11,9,0,Matches
Ben Godfrey,eng ENG,DF,25-025,2.3,5,3,5,0,0,4,8,50.0,4,5,2,3,2,7,2,0,Matches
Salomón Rondón,ve VEN,FW,33-146,1.2,0,0,0,0,0,0,0,,0,1,1,0,0,0,0,0,Matches
Asmir Begović,ba BIH,GK,35-234,1.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,Matches
James Garner,eng ENG,MF,21-333,1.6,6,5,1,4,1,1,4,25.0,3,2,0,2,4,10,1,0,Matches
Dele Alli,eng ENG,MF,26-304,0.4,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
Isaac Price,nir NIR,MF,19-136,0.4,0,0,0,0,0,0,1,0.0,1,1,1,0,0,0,0,0,Matches
Rúben Vinagre,pt POR,"DF,MF",23-306,0.3,2,2,1,1,0,1,2,50.0,1,0,0,0,0,2,1,0,Matches
Thomas Cannon,ie IRL,FW,20-043,0.3,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
Michael Keane,eng ENG,DF,30-029,0.3,0,0,0,0,0,0,0,,0,0,0,0,0,0,4,0,Matches
Ellis Simms,eng ENG,FW,22-035,0.2,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
Squad Total,,,26.9,21.0,383,232,207,136,40,156,275,56.7,119,287,103,184,200,583,487,10,
Opponent Total,,,27.2,21.0,347,207,142,154,51,167,298,56.0,131,205,65,140,155,502,384,7,
