Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,Unnamed: 19_level_0,Unnamed: 20_level_0,Unnamed: 21_level_0,Unnamed: 22_level_0,Unnamed: 23_level_0,Unnamed: 24_level_0,Unnamed: 25_level_0,Unnamed: 26_level_0,Unnamed: 27_level_0,Unnamed: 28_level_0
Player,Nation,Pos,Age,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches
James Tarkowski,eng ENG,DF,30-082,21.0,896,1063,84.3,18010,6841,293,322,91.0,487,543,89.7,110,182,60.4,0,1.1,1.0,-1.1,8,62,2,0,55,Matches
Alex Iwobi,ng NGA,MF,26-282,20.8,721,914,78.9,12707,3419,331,381,86.9,292,356,82.0,79,120,65.8,5,3.0,2.2,2.0,33,77,24,7,101,Matches
Vitaliy Mykolenko,ua UKR,"DF,MF",23-256,19.8,689,905,76.1,10859,3971,370,413,89.6,261,343,76.1,45,101,44.6,0,0.8,0.6,-0.8,13,63,17,8,70,Matches
Jordan Pickford,eng ENG,GK,28-339,20.0,455,736,61.8,14534,11049,108,109,99.1,146,147,99.3,197,472,41.7,1,0.1,0.3,0.9,2,29,1,0,1,Matches
Conor Coady,eng ENG,DF,29-349,18.9,844,1000,84.4,17963,6790,234,252,92.9,476,509,93.5,128,223,57.4,1,0.3,0.5,0.7,4,62,3,1,34,Matches
Demarai Gray,eng ENG,"FW,MF",26-226,18.7,432,632,68.4,7490,1659,210,234,89.7,158,210,75.2,51,139,36.7,1,2.7,3.1,-1.7,26,25,17,6,38,Matches
Amadou Onana,be BEL,MF,21-177,16.5,530,629,84.3,8677,1912,276,312,88.5,204,233,87.6,39,58,67.2,1,1.8,1.3,-0.8,10,54,7,0,45,Matches
Idrissa Gana Gueye,sn SEN,MF,33-136,13.6,568,664,85.5,9275,2328,281,306,91.8,245,271,90.4,33,54,61.1,1,0.7,0.5,0.3,5,52,3,0,49,Matches
Anthony Gordon,eng ENG,FW,21-350,12.2,193,280,68.9,2905,625,110,135,81.5,66,89,74.2,11,27,40.7,0,0.6,0.5,-0.6,8,8,11,2,19,Matches
Nathan Patterson,sct SCO,"DF,MF",21-116,11.0,396,517,76.6,5831,2105,234,258,90.7,136,180,75.6,18,53,34.0,0,0.4,0.6,-0.4,4,16,6,2,20,Matches
Dwight McNeil,eng ENG,"FW,DF",23-079,10.9,289,400,72.3,4867,1337,150,180,83.3,93,114,81.6,35,73,47.9,2,1.9,1.8,0.1,15,17,12,5,30,Matches
Séamus Coleman,ie IRL,DF,34-121,9.5,328,404,81.2,5362,1946,160,181,88.4,137,160,85.6,25,43,58.1,0,0.3,0.4,-0.3,2,13,9,5,26,Matches
Dominic Calvert-Lewin,eng ENG,FW,25-330,8.1,86,139,61.9,1009,175,53,79,67.1,19,33,57.6,3,5,60.0,0,0.3,0.2,-0.3,4,8,1,0,8,Matches
Neal Maupay,fr FRA,FW,26-179,7.9,115,154,74.7,1503,148,81,95,85.3,29,38,76.3,3,5,60.0,0,0.5,0.1,-0.5,5,6,2,0,7,Matches
Tom Davies,eng ENG,MF,24-224,4.6,139,183,76.0,2410,679,66,84,78.6,57,67,85.1,13,22,59.1,0,0.1,0.2,-0.1,1,19,1,0,24,Matches
Mason Holgate,eng ENG,DF,26-110,3.6,107,148,72.3,2196,526,34,41,82.9,56,63,88.9,16,40,40.0,0,0.3,0.1,-0.3,3,9,1,0,9,Matches
Abdoulaye Doucouré,ml MLI,MF,30-039,3.5,117,149,78.5,1616,364,65,83,78.3,44,53,83.0,2,3,66.7,0,0.0,0.1,0.0,1,9,0,0,8,Matches
Yerry Mina,co COL,DF,28-139,2.6,156,174,89.7,2741,956,57,62,91.9,90,99,90.9,7,11,63.6,0,0.0,0.0,0.0,0,10,0,0,7,Matches
Ben Godfrey,eng ENG,DF,25-025,2.3,69,87,79.3,1244,342,27,29,93.1,37,45,82.2,5,10,50.0,0,0.1,0.0,-0.1,1,7,0,0,5,Matches
