Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,Unnamed: 23_level_0
Player,Nation,Pos,Age,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,Matches
Jordan Pickford,eng ENG,GK,28-339,20,20,1800,20.0,28,1.4,103,75,74.8,3,6,11,4,20.0,2,2,0,0,0.0,Matches
Asmir Begović,ba BIH,GK,35-234,1,1,90,1.0,0,0.0,4,4,100.0,1,0,0,1,100.0,0,0,0,0,,Matches
Squad Total,,,26.9,21,21,1890,21.0,28,1.33,107,79,75.7,4,6,11,5,23.8,2,2,0,0,0.0,
Opponent Total,,,27.2,21,21,1890,21.0,16,0.76,71,56,78.9,11,6,4,8,38.1,1,1,0,0,0.0,
