Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected,Unnamed: 22_level_0
Player,Nation,Pos,Age,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
James Tarkowski,eng ENG,DF,30-082,21.0,1,15,6,40.0,0.71,0.29,0.07,0.17,9.4,0,0,0,1.4,1.4,0.09,-0.4,-0.4,Matches
Alex Iwobi,ng NGA,MF,26-282,20.8,1,19,5,26.3,0.91,0.24,0.05,0.2,22.5,0,0,0,1.3,1.3,0.07,-0.3,-0.3,Matches
Vitaliy Mykolenko,ua UKR,"DF,MF",23-256,19.8,0,7,2,28.6,0.35,0.1,0.0,0.0,22.6,0,0,0,0.4,0.4,0.06,-0.4,-0.4,Matches
Jordan Pickford,eng ENG,GK,28-339,20.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Conor Coady,eng ENG,DF,29-349,18.9,1,3,2,66.7,0.16,0.11,0.33,0.5,9.9,0,0,0,0.6,0.6,0.2,0.4,0.4,Matches
Demarai Gray,eng ENG,"FW,MF",26-226,18.7,3,36,14,38.9,1.93,0.75,0.06,0.14,20.1,4,1,1,3.7,2.9,0.08,-0.7,-0.9,Matches
Amadou Onana,be BEL,MF,21-177,16.5,1,20,3,15.0,1.21,0.18,0.05,0.33,15.9,0,0,0,1.9,1.9,0.09,-0.9,-0.9,Matches
Idrissa Gana Gueye,sn SEN,MF,33-136,13.6,0,1,1,100.0,0.07,0.07,0.0,0.0,28.8,0,0,0,0.0,0.0,0.03,0.0,0.0,Matches
Anthony Gordon,eng ENG,FW,21-350,12.2,3,26,16,61.5,2.14,1.32,0.12,0.19,16.6,1,0,0,3.3,3.3,0.13,-0.3,-0.3,Matches
Nathan Patterson,sct SCO,"DF,MF",21-116,11.0,0,8,1,12.5,0.73,0.09,0.0,0.0,18.2,0,0,0,0.5,0.5,0.06,-0.5,-0.5,Matches
Dwight McNeil,eng ENG,"FW,DF",23-079,10.9,2,13,2,15.4,1.19,0.18,0.15,1.0,18.9,0,0,0,0.7,0.7,0.06,1.3,1.3,Matches
Séamus Coleman,ie IRL,DF,34-121,9.5,0,3,0,0.0,0.32,0.0,0.0,,17.8,0,0,0,0.2,0.2,0.06,-0.2,-0.2,Matches
Dominic Calvert-Lewin,eng ENG,FW,25-330,8.1,1,16,4,25.0,1.97,0.49,0.06,0.25,10.7,0,0,0,2.9,2.9,0.18,-1.9,-1.9,Matches
Neal Maupay,fr FRA,FW,26-179,7.9,1,16,7,43.8,2.02,0.88,0.06,0.14,14.9,0,0,0,2.1,2.1,0.13,-1.1,-1.1,Matches
Tom Davies,eng ENG,MF,24-224,4.6,0,6,1,16.7,1.31,0.22,0.0,0.0,19.5,0,0,0,0.6,0.6,0.09,-0.6,-0.6,Matches
Mason Holgate,eng ENG,DF,26-110,3.6,0,3,0,0.0,0.84,0.0,0.0,,14.0,0,0,0,0.3,0.3,0.1,-0.3,-0.3,Matches
Abdoulaye Doucouré,ml MLI,MF,30-039,3.5,0,4,1,25.0,1.13,0.28,0.0,0.0,12.5,0,0,0,0.4,0.4,0.1,-0.4,-0.4,Matches
Yerry Mina,co COL,DF,28-139,2.6,1,3,2,66.7,1.15,0.77,0.33,0.5,12.4,0,0,0,0.2,0.2,0.08,0.8,0.8,Matches
Ben Godfrey,eng ENG,DF,25-025,2.3,0,3,0,0.0,1.28,0.0,0.0,,8.1,0,0,0,1.1,1.1,0.36,-1.1,-1.1,Matches
Salomón Rondón,ve VEN,FW,33-146,1.2,0,4,1,25.0,3.3,0.83,0.0,0.0,19.3,0,0,0,0.8,0.8,0.2,-0.8,-0.8,Matches
Asmir Begović,ba BIH,GK,35-234,1.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
James Garner,eng ENG,MF,21-333,1.6,0,2,1,50.0,1.27,0.63,0.0,0.0,22.4,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
Dele Alli,eng ENG,MF,26-304,0.4,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Isaac Price,nir NIR,MF,19-136,0.4,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Rúben Vinagre,pt POR,"DF,MF",23-306,0.3,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Thomas Cannon,ie IRL,FW,20-043,0.3,0,1,1,100.0,3.6,3.6,0.0,0.0,10.8,0,0,0,0.1,0.1,0.09,-0.1,-0.1,Matches
Michael Keane,eng ENG,DF,30-029,0.3,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Ellis Simms,eng ENG,FW,22-035,0.2,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Squad Total,,,26.9,21.0,15,209,70,33.5,9.95,3.33,0.07,0.2,16.8,5,1,1,22.1,21.3,0.1,-7.1,-7.3,
Opponent Total,,,27.2,21.0,28,333,105,31.5,15.86,5.0,0.08,0.25,16.2,9,2,2,34.4,32.9,0.1,-6.4,-6.9,
